fips,Type,Zipcode,State,City,Metro,CountyName,1996-01-31,1996-02-29,1996-03-31,1996-04-30,1996-05-31,1996-06-30,1996-07-31,1996-08-31,1996-09-30,1996-10-31,1996-11-30,1996-12-31,1997-01-31,1997-02-28,1997-03-31,1997-04-30,1997-05-31,1997-06-30,1997-07-31,1997-08-31,1997-09-30,1997-10-31,1997-11-30,1997-12-31,1998-01-31,1998-02-28,1998-03-31,1998-04-30,1998-05-31,1998-06-30,1998-07-31,1998-08-31,1998-09-30,1998-10-31,1998-11-30,1998-12-31,1999-01-31,1999-02-28,1999-03-31,1999-04-30,1999-05-31,1999-06-30,1999-07-31,1999-08-31,1999-09-30,1999-10-31,1999-11-30,1999-12-31,2000-01-31,2000-02-29,2000-03-31,2000-04-30,2000-05-31,2000-06-30,2000-07-31,2000-08-31,2000-09-30,2000-10-31,2000-11-30,2000-12-31,2001-01-31,2001-02-28,2001-03-31,2001-04-30,2001-05-31,2001-06-30,2001-07-31,2001-08-31,2001-09-30,2001-10-31,2001-11-30,2001-12-31,2002-01-31,2002-02-28,2002-03-31,2002-04-30,2002-05-31,2002-06-30,2002-07-31,2002-08-31,2002-09-30,2002-10-31,2002-11-30,2002-12-31,2003-01-31,2003-02-28,2003-03-31,2003-04-30,2003-05-31,2003-06-30,2003-07-31,2003-08-31,2003-09-30,2003-10-31,2003-11-30,2003-12-31,2004-01-31,2004-02-29,2004-03-31,2004-04-30,2004-05-31,2004-06-30,2004-07-31,2004-08-31,2004-09-30,2004-10-31,2004-11-30,2004-12-31,2005-01-31,2005-02-28,2005-03-31,2005-04-30,2005-05-31,2005-06-30,2005-07-31,2005-08-31,2005-09-30,2005-10-31,2005-11-30,2005-12-31,2006-01-31,2006-02-28,2006-03-31,2006-04-30,2006-05-31,2006-06-30,2006-07-31,2006-08-31,2006-09-30,2006-10-31,2006-11-30,2006-12-31,2007-01-31,2007-02-28,2007-03-31,2007-04-30,2007-05-31,2007-06-30,2007-07-31,2007-08-31,2007-09-30,2007-10-31,2007-11-30,2007-12-31,2008-01-31,2008-02-29,2008-03-31,2008-04-30,2008-05-31,2008-06-30,2008-07-31,2008-08-31,2008-09-30,2008-10-31,2008-11-30,2008-12-31,2009-01-31,2009-02-28,2009-03-31,2009-04-30,2009-05-31,2009-06-30,2009-07-31,2009-08-31,2009-09-30,2009-10-31,2009-11-30,2009-12-31,2010-01-31,2010-02-28,2010-03-31,2010-04-30,2010-05-31,2010-06-30,2010-07-31,2010-08-31,2010-09-30,2010-10-31,2010-11-30,2010-12-31,2011-01-31,2011-02-28,2011-03-31,2011-04-30,2011-05-31,2011-06-30,2011-07-31,2011-08-31,2011-09-30,2011-10-31,2011-11-30,2011-12-31,2012-01-31,2012-02-29,2012-03-31,2012-04-30,2012-05-31,2012-06-30,2012-07-31,2012-08-31,2012-09-30,2012-10-31,2012-11-30,2012-12-31,2013-01-31,2013-02-28,2013-03-31,2013-04-30,2013-05-31,2013-06-30,2013-07-31,2013-08-31,2013-09-30,2013-10-31,2013-11-30,2013-12-31,2014-01-31,2014-02-28,2014-03-31,2014-04-30,2014-05-31,2014-06-30,2014-07-31,2014-08-31,2014-09-30,2014-10-31,2014-11-30,2014-12-31,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,pct_change_2020
48201,1-Bedroom,77449,TX,Katy,Houston-The Woodlands-Sugar Land,Harris County,85415.0,85933.0,85411.0,84715.0,83645.0,83325.0,83501.0,83606.0,83846.0,84041.0,84219.0,84316.0,84608.0,84425.0,84526.0,84535.0,85322.0,85704.0,85148.0,84896.0,85101.0,86047.0,87242.0,88066.0,88606.0,88601.0,89664.0,91574.0,93046.0,93335.0,94372.0,95199.0,95013.0,93590.0,92085.0,91873.0,91890.0,92471.0,92280.0,91815.0,91684.0,92361.0,92603.0,92677.0,92729.0,93335.0,93800.0,93741.0,93551.0,94162.0,95088.0,95619.0,95267.0,95044.0,95091.0,95224.0,95586.0,95902.0,96123.0,96273.0,96329.0,95680.0,94488.0,93984.0,94399.0,94248.0,93783.0,93343.0,93669.0,94137.0,94353.0,94575.0,94934.0,95434.0,96286.0,96710.0,97106.0,97727.0,98320.0,98719.0,98972.0,99438.0,100494.0,101295.0,101999.0,102218.0,102236.0,102349.0,102875.0,104025.0,105375.0,106404.0,106531.0,106185.0,105671.0,105738.0,106134.0,106990.0,108042.0,108741.0,108723.0,107591.0,106671.0,107122.0,108369.0,109881.0,110662.0,111226.0,111847.0,112707.0,113533.0,114117.0,114285.0,114855.0,115412.0,115009.0,114324.0,112988.0,112346.0,111690.0,110614.0,109456.0,108653.0,108912.0,109625.0,109889.0,109950.0,109624.0,109354.0,108778.0,108663.0,108592.0,109670.0,110135.0,110071.0,109277.0,108747.0,108935.0,108849.0,109690.0,110521.0,112785.0,113979.0,114555.0,113715.0,113037.0,113027.0,112597.0,111945.0,110726.0,110468.0,109577.0,108963.0,107437.0,106535.0,105819.0,105086.0,104630.0,102766.0,101757.0,100500.0,100522.0,99855.0,99148.0,97901.0,96709.0,96056.0,95674.0,95640.0,95021.0,95576.0,96014.0,96770.0,96257.0,95468.0,94966.0,95013.0,95400.0,95346.0,94568.0,93383.0,92389.0,91083.0,89661.0,88620.0,88030.0,87850.0,86822.0,85682.0,84672.0,83014.0,82034.0,81264.0,81277.0,81393.0,81373.0,80805.0,80152.0,79548.0,79649.0,79498.0,79223.0,79600.0,80440.0,81469.0,82054.0,82414.0,83033.0,84127.0,85482.0,86824.0,88059.0,89152.0,90039.0,91179.0,91679.0,92364.0,92842.0,93925.0,94702.0,95239.0,95730.0,96802.0,98112.0,99719.0,100958.0,102057.0,103242.0,104257.0,105348.0,105860.0,107274.0,108457.0,109481.0,109150.0,109544.0,110686.0,112730.0,113708.0,114340.0,114883.0,115561.0,116401.0,116536.0,117051.0,117340.0,118451.0,118935.0,118908.0,118473.0,118667.0,119475.0,120022.0,120265.0,120492.0,120298.0,120731.0,121275.0,122116.0,121629.0,120716.0,120000.0,120464.0,121021.0,121692.0,122863.0,124089.0,126373.0,127158.0,128397.0,128975.0,130257.0,131544.0,132538.0,133233.0,133110.0,133752.0,133901.0,134097.0,133501.0,133578.0,133910.0,134790.0,135968.0,136304.0,136274.0,135014.0,134940.0,134855.0,135922.0,137041.0,137762.0,138753.0,139456.0,140111.0,140617.0,142016.0,143976.0,146953.0,149562.0,151943.0,10.835927078701646
48201,1-Bedroom,77084,TX,Houston,Houston-The Woodlands-Sugar Land,Harris County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60017.0,59845.0,59142.0,57853.0,56446.0,55399.0,54581.0,53910.0,53509.0,53318.0,53383.0,53676.0,54067.0,53816.0,53573.0,53667.0,54075.0,54118.0,53858.0,53759.0,53763.0,53296.0,52258.0,50827.0,49567.0,48911.0,48803.0,48776.0,48682.0,48556.0,48679.0,48399.0,47800.0,47595.0,47990.0,48623.0,48977.0,49141.0,49100.0,48724.0,48448.0,48473.0,48429.0,48465.0,47993.0,47612.0,47141.0,47053.0,47107.0,46988.0,46751.0,46397.0,46304.0,46533.0,46563.0,46713.0,47043.0,47262.0,46949.0,45904.0,44776.0,43873.0,43440.0,43936.0,44311.0,44030.0,43528.0,42893.0,42495.0,41861.0,41608.0,42138.0,42926.0,43309.0,42868.0,41801.0,40378.0,39211.0,38447.0,38182.0,38302.0,38447.0,38364.0,37652.0,36786.0,36188.0,36132.0,36142.0,36828.0,37331.0,37451.0,37044.0,36326.0,35968.0,36061.0,36527.0,37148.0,37677.0,38256.0,38889.0,39517.0,40521.0,41832.0,42924.0,43661.0,44584.0,45260.0,46204.0,46779.0,47597.0,47841.0,48106.0,47920.0,48166.0,48362.0,49154.0,49915.0,49879.0,50122.0,50171.0,50900.0,51549.0,52610.0,53568.0,54001.0,53504.0,53229.0,53438.0,54649.0,56263.0,56973.0,57410.0,57230.0,57521.0,57730.0,58087.0,59065.0,60695.0,62907.0,64325.0,64832.0,64932.0,65576.0,66475.0,67822.0,68465.0,69189.0,69590.0,70199.0,70667.0,69907.0,69209.0,68957.0,69481.0,70717.0,71199.0,71501.0,71735.0,72484.0,73546.0,74223.0,74156.0,74184.0,74782.0,75164.0,75227.0,74306.0,74526.0,75056.0,75611.0,75222.0,74605.0,74955.0,76104.0,77298.0,76971.0,76840.0,76414.0,76845.0,76571.0,76444.0,76272.0,76577.0,77027.0,76919.0,76625.0,76537.0,77399.0,78207.0,79330.0,80200.0,81305.0,4.365931420391697
48141,1-Bedroom,79936,TX,El Paso,El Paso,El Paso County,71714.0,71859.0,71920.0,71953.0,72054.0,72080.0,72211.0,72177.0,72162.0,72149.0,72202.0,72406.0,72452.0,72370.0,72276.0,72480.0,72553.0,72707.0,72816.0,73137.0,73464.0,73707.0,73861.0,73866.0,74198.0,74652.0,75033.0,75110.0,75252.0,75481.0,75537.0,75644.0,75703.0,75931.0,76118.0,76164.0,76093.0,75999.0,76201.0,76563.0,76949.0,77232.0,77522.0,77727.0,77986.0,78205.0,78571.0,79012.0,79306.0,79462.0,79565.0,79616.0,79574.0,79383.0,79377.0,79503.0,79361.0,79004.0,78435.0,78300.0,78204.0,78135.0,77588.0,77244.0,76895.0,76772.0,76314.0,75719.0,75374.0,75198.0,75194.0,74848.0,74701.0,74612.0,74928.0,75115.0,75462.0,75664.0,76172.0,76584.0,77047.0,77513.0,77864.0,78374.0,78537.0,78790.0,78725.0,78802.0,78886.0,78981.0,78986.0,79077.0,79312.0,79467.0,79807.0,80181.0,80852.0,81626.0,82481.0,83370.0,84178.0,85292.0,86335.0,87365.0,87824.0,88464.0,89151.0,89770.0,90408.0,90825.0,91517.0,91781.0,91763.0,91555.0,91605.0,91630.0,92081.0,92403.0,93017.0,93683.0,94645.0,95732.0,97144.0,98427.0,99880.0,101105.0,102631.0,104761.0,106523.0,108157.0,108776.0,109387.0,109662.0,110213.0,110343.0,111181.0,112380.0,113963.0,114998.0,115356.0,115836.0,116081.0,116602.0,117024.0,116853.0,116112.0,115228.0,114693.0,114002.0,112941.0,111636.0,110296.0,109374.0,109051.0,109119.0,109023.0,108596.0,108516.0,108267.0,107903.0,107108.0,106755.0,106602.0,106981.0,107142.0,107269.0,107181.0,107201.0,108237.0,108998.0,109770.0,109511.0,109786.0,109755.0,109933.0,109755.0,109774.0,109450.0,109017.0,108430.0,107775.0,107321.0,107273.0,107840.0,108150.0,108275.0,108282.0,108153.0,107781.0,107663.0,107788.0,107951.0,107659.0,106864.0,106207.0,105628.0,105586.0,105792.0,106217.0,106536.0,106774.0,106573.0,106427.0,106499.0,106754.0,107670.0,108042.0,108559.0,108412.0,108473.0,108143.0,108043.0,108100.0,108655.0,109189.0,109438.0,109739.0,109828.0,110228.0,110120.0,110174.0,109962.0,109999.0,110241.0,110224.0,109821.0,109115.0,108726.0,108718.0,108643.0,108491.0,108377.0,108304.0,108453.0,108511.0,108269.0,108099.0,108343.0,108968.0,109503.0,109492.0,109726.0,109934.0,110453.0,110876.0,111073.0,111442.0,111838.0,112570.0,113054.0,113591.0,114214.0,114731.0,114818.0,114764.0,115035.0,115436.0,115523.0,115263.0,115215.0,115410.0,115703.0,115796.0,115670.0,115923.0,116112.0,116435.0,116314.0,116354.0,117226.0,118213.0,119167.0,119777.0,120485.0,121031.0,121377.0,121554.0,121911.0,122548.0,123280.0,124238.0,125089.0,125950.0,126631.0,126143.0,125467.0,124857.0,125083.0,125518.0,126031.0,126276.0,126598.0,126755.0,126771.0,126906.0,127268.0,128754.0,130457.0,132365.0,133926.0,135485.0,7.069705715404971
48453,1-Bedroom,78660,TX,Pflugerville,Austin-Round Rock,Travis County,128670.0,128343.0,128164.0,127836.0,127694.0,127494.0,127456.0,127550.0,127716.0,127602.0,127520.0,127660.0,128028.0,128527.0,128984.0,129385.0,129670.0,130012.0,130198.0,130484.0,130666.0,131540.0,132205.0,132791.0,132781.0,132691.0,132524.0,132518.0,132313.0,132343.0,132326.0,132157.0,132142.0,131871.0,132132.0,132073.0,132680.0,133510.0,134753.0,135899.0,137539.0,139169.0,141228.0,142860.0,144560.0,145919.0,147112.0,148514.0,149733.0,150998.0,151566.0,151990.0,152176.0,152336.0,151767.0,151896.0,151861.0,152663.0,152731.0,153171.0,153224.0,153321.0,153479.0,153937.0,153857.0,153623.0,153793.0,153655.0,153730.0,153144.0,153812.0,154050.0,154647.0,154547.0,154811.0,154922.0,155576.0,156095.0,156331.0,156304.0,156129.0,156281.0,156247.0,156263.0,156009.0,156129.0,156451.0,156759.0,156773.0,156605.0,156777.0,157063.0,157401.0,157365.0,156937.0,156500.0,156545.0,157067.0,157347.0,157524.0,157730.0,158395.0,159191.0,160313.0,161271.0,162618.0,163702.0,164943.0,165599.0,166109.0,166490.0,166907.0,167959.0,168622.0,168708.0,168221.0,167942.0,167794.0,167785.0,167938.0,168319.0,168491.0,168886.0,169240.0,168853.0,169226.0,169651.0,170379.0,170653.0,170908.0,171889.0,172425.0,173076.0,173672.0,173566.0,173556.0,173698.0,173721.0,174153.0,174835.0,176183.0,177124.0,177390.0,177454.0,177256.0,176868.0,177182.0,177630.0,177963.0,177376.0,176543.0,175661.0,174678.0,173846.0,172194.0,171187.0,170426.0,170230.0,169705.0,168593.0,167672.0,167495.0,167678.0,167920.0,167574.0,167351.0,168130.0,168449.0,168419.0,167944.0,167613.0,167676.0,167882.0,167970.0,167631.0,166684.0,166028.0,165253.0,164310.0,163595.0,162934.0,162201.0,161565.0,161203.0,160810.0,160099.0,159444.0,159449.0,159494.0,159802.0,160322.0,160577.0,161054.0,161634.0,162418.0,162373.0,162141.0,162191.0,162663.0,162910.0,163464.0,163719.0,163581.0,164137.0,165124.0,166763.0,167945.0,170247.0,172458.0,174582.0,176047.0,177623.0,178889.0,180239.0,182162.0,183667.0,184754.0,185323.0,186423.0,187374.0,188532.0,189628.0,190807.0,191889.0,193423.0,195312.0,196984.0,198407.0,199821.0,201424.0,202841.0,203861.0,205152.0,207039.0,209669.0,212294.0,214128.0,215264.0,216390.0,218316.0,220822.0,222885.0,224696.0,226258.0,227894.0,228972.0,230049.0,230681.0,232070.0,233990.0,236101.0,237393.0,237476.0,238222.0,239548.0,241458.0,242595.0,243303.0,243665.0,244822.0,246463.0,247666.0,248785.0,249568.0,251029.0,251677.0,252252.0,252555.0,253766.0,256110.0,258173.0,259884.0,259738.0,260765.0,261044.0,262080.0,263026.0,264994.0,265987.0,266786.0,267163.0,268284.0,269272.0,270255.0,271363.0,271937.0,272195.0,273667.0,275561.0,277957.0,280435.0,283095.0,286015.0,288095.0,290701.0,293543.0,297360.0,301343.0,306291.0,310217.0,314021.0,13.355647557067531
48091,1-Bedroom,78130,TX,New Braunfels,San Antonio-New Braunfels,Comal County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126393.0,124759.0,123503.0,121156.0,119817.0,119812.0,120329.0,120789.0,120974.0,121294.0,121821.0,122799.0,124150.0,126289.0,127952.0,130010.0,131275.0,131378.0,130891.0,130535.0,131176.0,131620.0,132084.0,131536.0,130471.0,129845.0,130965.0,132215.0,132293.0,131380.0,130666.0,130985.0,130401.0,130416.0,130239.0,130685.0,130854.0,129529.0,127686.0,124996.0,124672.0,125300.0,126223.0,125643.0,125936.0,125752.0,125623.0,126103.0,127586.0,129822.0,130723.0,131877.0,131192.0,129349.0,126572.0,123938.0,121849.0,120585.0,121175.0,121708.0,121762.0,121669.0,122330.0,122759.0,122685.0,122905.0,124126.0,125729.0,126597.0,126691.0,125807.0,124136.0,122741.0,121174.0,120042.0,118647.0,119212.0,119943.0,120512.0,120692.0,121337.0,123266.0,124160.0,125734.0,125343.0,125523.0,125434.0,127042.0,127518.0,128401.0,129033.0,130743.0,132069.0,131386.0,131068.0,129885.0,131875.0,132678.0,134136.0,134184.0,134652.0,134816.0,133976.0,132471.0,130408.0,129458.0,128754.0,128554.0,127492.0,127998.0,128464.0,129351.0,129567.0,129161.0,129524.0,129400.0,130172.0,131227.0,132878.0,134164.0,134762.0,135298.0,135921.0,136208.0,136312.0,136543.0,137474.0,139424.0,142000.0,144012.0,145228.0,146395.0,148211.0,149001.0,149462.0,149555.0,150569.0,152311.0,153744.0,155418.0,156303.0,156769.0,156570.0,156744.0,156634.0,157457.0,158130.0,160116.0,161928.0,163865.0,165327.0,166043.0,165247.0,166107.0,167838.0,170704.0,172051.0,172868.0,173703.0,174515.0,174870.0,174978.0,175189.0,174873.0,176175.0,177017.0,178078.0,179327.0,180780.0,182326.0,183238.0,184210.0,185789.0,186552.0,186826.0,188200.0,191394.0,193155.0,194729.0,193758.0,195675.0,197593.0,199841.0,201652.0,203276.0,205690.0,208608.0,211114.0,211626.0,213177.0,214649.0,217928.0,219209.0,12.474323640830313
48167,1-Bedroom,77573,TX,League City,Houston-The Woodlands-Sugar Land,Galveston County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100571.0,101731.0,102544.0,104108.0,105182.0,106143.0,107082.0,108206.0,109548.0,110846.0,112034.0,113002.0,114133.0,114811.0,115206.0,115073.0,114764.0,113864.0,112296.0,110764.0,109151.0,108235.0,107567.0,107437.0,107018.0,106367.0,106064.0,106556.0,108058.0,110477.0,113872.0,116452.0,118597.0,119048.0,118882.0,117826.0,116881.0,116538.0,116528.0,116655.0,116990.0,117318.0,117428.0,117794.0,117724.0,118886.0,120845.0,123945.0,127024.0,129891.0,132455.0,135018.0,137490.0,138951.0,139475.0,139455.0,140613.0,140616.0,141142.0,141232.0,142602.0,143279.0,143963.0,143928.0,142883.0,142556.0,142947.0,143811.0,143213.0,143035.0,142493.0,141633.0,139778.0,138192.0,137054.0,136457.0,136657.0,136867.0,137137.0,137400.0,138431.0,139624.0,140902.0,142663.0,144886.0,0.7272316479916404
48039,1-Bedroom,77584,TX,Pearland,Houston-The Woodlands-Sugar Land,Brazoria County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210973.0,214354.0,216328.0,220766.0,224716.0,229274.0,233988.0,237917.0,242186.0,245888.0,249626.0,253273.0,257127.0,259539.0,262199.0,265323.0,269248.0,272581.0,275752.0,281900.0,285709.0,290276.0,293496.0,297487.0,299580.0,301719.0,305779.0,311084.0,315311.0,319272.0,321160.0,318945.0,319374.0,319820.0,322750.0,323647.0,327792.0,333118.0,336933.0,336053.0,336933.0,335256.0,338020.0,340601.0,344293.0,347455.0,350621.0,353629.0,355097.0,353750.0,352658.0,353488.0,353186.0,353292.0,349828.0,347521.0,345850.0,343904.0,340199.0,334926.0,329519.0,326379.0,322602.0,319954.0,316319.0,313724.0,310649.0,307689.0,304543.0,301883.0,300356.0,300186.0,300650.0,300740.0,301714.0,301963.0,303410.0,304806.0,-4.081006831711026
48491,1-Bedroom,78613,TX,Cedar Park,Austin-Round Rock,Williamson County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213824.0,212627.0,212876.0,212489.0,212736.0,212211.0,211296.0,210037.0,208868.0,207778.0,207212.0,206289.0,205602.0,204959.0,203354.0,201873.0,200328.0,199574.0,199180.0,199136.0,199107.0,199655.0,199121.0,198873.0,197957.0,198721.0,199539.0,200550.0,199899.0,199798.0,199691.0,199871.0,199654.0,198289.0,198064.0,198543.0,199634.0,199461.0,199265.0,198618.0,199349.0,199564.0,200490.0,201197.0,202735.0,204690.0,205628.0,205637.0,205687.0,206151.0,206538.0,207203.0,207319.0,207978.0,208066.0,208435.0,207830.0,206881.0,205443.0,204122.0,203554.0,203178.0,203239.0,202164.0,201705.0,200685.0,199872.0,198850.0,197883.0,196523.0,195923.0,196138.0,194873.0,193410.0,191251.0,191265.0,190820.0,190708.0,190817.0,190204.0,189509.0,189049.0,189231.0,188426.0,187855.0,186898.0,186343.0,185201.0,184051.0,183216.0,181797.0,181331.0,181389.0,181653.0,180715.0,179967.0,179472.0,179881.0,180347.0,180677.0,180992.0,181045.0,181417.0,181843.0,181861.0,182459.0,183489.0,184889.0,185880.0,186521.0,187163.0,187977.0,189060.0,190825.0,192666.0,194681.0,196521.0,198025.0,199322.0,201280.0,203952.0,206644.0,209204.0,211450.0,213855.0,214832.0,216602.0,218176.0,220858.0,222807.0,225533.0,227317.0,229250.0,230030.0,231123.0,232306.0,234243.0,237920.0,240348.0,242162.0,242803.0,244816.0,246422.0,247722.0,248755.0,251569.0,254415.0,256643.0,257492.0,257967.0,259206.0,260989.0,262798.0,263830.0,265161.0,267763.0,270136.0,272215.0,273668.0,275908.0,277944.0,279041.0,279793.0,280376.0,281775.0,283476.0,284976.0,285433.0,285868.0,285782.0,286345.0,287259.0,288179.0,289168.0,289660.0,290691.0,291710.0,292222.0,292980.0,293718.0,294786.0,295218.0,295596.0,295494.0,296377.0,297071.0,298713.0,299629.0,300463.0,302010.0,303362.0,304800.0,304595.0,304572.0,304343.0,305281.0,306861.0,309513.0,311331.0,313250.0,315108.0,316787.0,318636.0,320692.0,323984.0,327714.0,331660.0,334950.0,337357.0,339172.0,9.938050126930435
48201,1-Bedroom,77433,TX,Cypress,Houston-The Woodlands-Sugar Land,Harris County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281749.0,279773.0,276830.0,271296.0,267927.0,265503.0,265958.0,267502.0,269680.0,271879.0,273521.0,275630.0,277470.0,278851.0,283408.0,289531.0,293004.0,293602.0,290537.0,286069.0,283208.0,280116.0,279501.0,278918.0,279997.0,281282.0,279310.0,277287.0,276002.0,280596.0,285509.0,291125.0,292707.0,296357.0,298725.0,301779.0,304114.0,307735.0,314437.0,322005.0,328831.0,330507.0,330825.0,333630.0,338123.0,344211.0,350597.0,353246.0,351279.0,346560.0,341640.0,337448.0,336149.0,338195.0,342802.0,341638.0,339656.0,334837.0,332736.0,333971.0,338254.0,342934.0,347135.0,350729.0,352436.0,353382.0,353145.0,356504.0,360579.0,366400.0,370599.0,9.426377610598589
48215,1-Bedroom,78572,TX,Mission,McAllen-Edinburg-Mission,Hidalgo County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43827.0,44065.0,44354.0,44788.0,45135.0,45387.0,45685.0,46020.0,46342.0,46654.0,46957.0,47260.0,47572.0,47836.0,47924.0,48161.0,48587.0,49223.0,49743.0,50175.0,50624.0,51084.0,51547.0,52009.0,52468.0,52957.0,53541.0,54050.0,54464.0,12.22773613504703
