HomeType,Latitude,Longitude,mercator_x,mercator_y,SizeRank,Zip,State,City,Metro,CountyName,1996-01-31,1996-02-29,1996-03-31,1996-04-30,1996-05-31,1996-06-30,1996-07-31,1996-08-31,1996-09-30,1996-10-31,1996-11-30,1996-12-31,1997-01-31,1997-02-28,1997-03-31,1997-04-30,1997-05-31,1997-06-30,1997-07-31,1997-08-31,1997-09-30,1997-10-31,1997-11-30,1997-12-31,1998-01-31,1998-02-28,1998-03-31,1998-04-30,1998-05-31,1998-06-30,1998-07-31,1998-08-31,1998-09-30,1998-10-31,1998-11-30,1998-12-31,1999-01-31,1999-02-28,1999-03-31,1999-04-30,1999-05-31,1999-06-30,1999-07-31,1999-08-31,1999-09-30,1999-10-31,1999-11-30,1999-12-31,2000-01-31,2000-02-29,2000-03-31,2000-04-30,2000-05-31,2000-06-30,2000-07-31,2000-08-31,2000-09-30,2000-10-31,2000-11-30,2000-12-31,2001-01-31,2001-02-28,2001-03-31,2001-04-30,2001-05-31,2001-06-30,2001-07-31,2001-08-31,2001-09-30,2001-10-31,2001-11-30,2001-12-31,2002-01-31,2002-02-28,2002-03-31,2002-04-30,2002-05-31,2002-06-30,2002-07-31,2002-08-31,2002-09-30,2002-10-31,2002-11-30,2002-12-31,2003-01-31,2003-02-28,2003-03-31,2003-04-30,2003-05-31,2003-06-30,2003-07-31,2003-08-31,2003-09-30,2003-10-31,2003-11-30,2003-12-31,2004-01-31,2004-02-29,2004-03-31,2004-04-30,2004-05-31,2004-06-30,2004-07-31,2004-08-31,2004-09-30,2004-10-31,2004-11-30,2004-12-31,2005-01-31,2005-02-28,2005-03-31,2005-04-30,2005-05-31,2005-06-30,2005-07-31,2005-08-31,2005-09-30,2005-10-31,2005-11-30,2005-12-31,2006-01-31,2006-02-28,2006-03-31,2006-04-30,2006-05-31,2006-06-30,2006-07-31,2006-08-31,2006-09-30,2006-10-31,2006-11-30,2006-12-31,2007-01-31,2007-02-28,2007-03-31,2007-04-30,2007-05-31,2007-06-30,2007-07-31,2007-08-31,2007-09-30,2007-10-31,2007-11-30,2007-12-31,2008-01-31,2008-02-29,2008-03-31,2008-04-30,2008-05-31,2008-06-30,2008-07-31,2008-08-31,2008-09-30,2008-10-31,2008-11-30,2008-12-31,2009-01-31,2009-02-28,2009-03-31,2009-04-30,2009-05-31,2009-06-30,2009-07-31,2009-08-31,2009-09-30,2009-10-31,2009-11-30,2009-12-31,2010-01-31,2010-02-28,2010-03-31,2010-04-30,2010-05-31,2010-06-30,2010-07-31,2010-08-31,2010-09-30,2010-10-31,2010-11-30,2010-12-31,2011-01-31,2011-02-28,2011-03-31,2011-04-30,2011-05-31,2011-06-30,2011-07-31,2011-08-31,2011-09-30,2011-10-31,2011-11-30,2011-12-31,2012-01-31,2012-02-29,2012-03-31,2012-04-30,2012-05-31,2012-06-30,2012-07-31,2012-08-31,2012-09-30,2012-10-31,2012-11-30,2012-12-31,2013-01-31,2013-02-28,2013-03-31,2013-04-30,2013-05-31,2013-06-30,2013-07-31,2013-08-31,2013-09-30,2013-10-31,2013-11-30,2013-12-31,2014-01-31,2014-02-28,2014-03-31,2014-04-30,2014-05-31,2014-06-30,2014-07-31,2014-08-31,2014-09-30,2014-10-31,2014-11-30,2014-12-31,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31
One Bedroom,30.246309,-97.76087,-10882690.267907413,3535250.022342252,71,78704,TX,Austin,Austin-Round Rock,Travis County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141127,142172,142988,144875,146216,148207,150441,153229,155487,158534,162045,166349,169385,171655,173323,174552,176233,177021,177326,176758,176821,175375,173429,170763,170285,170661,171204,172151,172997,173427,173499,173268,173067,173317,173626,173164,172278,171619,172825,173906,176049,177517,179129,180469,181944,183042,182895,182734,181894,179575,177418,174384,171879,169841,168852,168559,168057,168457,170859,174051,178486,183797,187786,190986,191881,192812,194247,197097,201189,205778,208169,208147,206918,206128,206470,206930,208713,210890,211883,210680,206909,201607,197710,197051,197389,197626,197636,198279,198423,197803,197644,198413,200409,202928,205087,206502,207474,208924,209706,211033,212356,213913,215157,215558,216217,216417,216544,215392,214445,212888,211697,210037,208179,206738,205416,204718,203154,201969,200747,200129,199296,197670,196752,196208,197268,197393,196272,194713,194139,193902,194122,193776,193711,193807,193482,192781,191141,190051,190013,190146,189877,189013,187776,187247,186918,187510,187884,188201,188689,189039,190210,191282,192919,194276,195767,197637,199050,199972,199749,199835,199870,201612,202565,204539,205572,208029,210090,211857,213455,215094,218303,221388,224697,226264,228096,229199,231161,232995,235418,237445,238779,239809,241189,242888,244652,246097,247743,249348,250848,251895,253054,254730,257713,262265,265651,268450,270044,272858,275152,276649,277542,277982,278469,278744,279531,279057,279025,279106,280122,280480,280442,281194,282590,284445,285718,286136,285861,285483,286232,287174,288768,289801,290782,291436,291876,291900,292235,293998,295903,297892,297683,298360,297676,298659,300018,302651,303862,304478,304671,305528,306690,307774,309208,309489,310452,311157,312836,313948,316006,318243,320913,322640,324261,326036,328482,331464,334565,337297,339193
Two Bedrooms,30.246309,-97.76087,-10882690.267907413,3535250.022342252,71,78704,TX,Austin,Austin-Round Rock,Travis County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229358,233567,236462,240897,242837,243808,245758,247729,247788,248742,250663,254085,256356,255704,254827,254292,257398,260768,263352,264610,267661,269527,270205,268817,268042,267236,266981,267529,267762,268460,267236,267041,268457,268489,267261,265217,265102,266550,266188,267717,268187,269798,271334,273586,272973,272544,272371,272416,271765,271187,271176,269773,268789,268592,269113,268612,269888,272751,275928,278623,279671,280464,281641,283576,285868,287217,289282,291521,293530,293223,292790,292815,294050,295793,297348,299281,301254,302841,304297,304884,305523,306931,308924,310854,312939,315150,317067,317680,317481,318092,318670,319632,320345,320975,322338,323544,325315,326701,328161,330018,331750,332810,332358,332091,331886,332141,330141,328638,325976,323042,319359,315213,312236,309966,308976,307732,305731,303261,301824,300584,299568,298132,297810,298512,299042,297921,296490,295193,294754,295095,295711,295763,295459,295795,296680,297222,297100,297364,297451,297668,297651,297153,296290,295828,296118,297170,297132,297325,297349,298978,301392,304604,307852,311331,315418,318777,321603,322325,323654,324794,328589,332158,336175,339147,342954,346711,350135,353653,357745,363422,369369,375273,379300,384109,387890,392438,396042,399887,403450,406397,408850,411978,414899,418658,421307,421406,421544,421892,423931,426153,428496,433354,439390,443975,446742,447598,449803,453087,456133,458254,458888,459262,460421,460984,460056,459160,460041,462761,465364,467030,469257,472043,475118,477145,477205,476067,475063,476245,477855,480013,481372,482715,482575,482497,482624,484352,488099,491969,496733,498315,500338,499460,501191,504031,509598,511551,512171,511885,512587,514255,515585,518302,519405,521068,521815,523477,525083,529344,534199,539647,544207,548711,553553,559031,566096,574783,583814,592339
Three Bedrooms,30.246309,-97.76087,-10882690.267907413,3535250.022342252,71,78704,TX,Austin,Austin-Round Rock,Travis County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278688,280610,282029,286490,291428,297206,301490,304459,308570,314525,320596,325213,328407,331673,334958,337421,338492,338473,338148,340406,342203,342443,340307,338196,337945,339256,341132,340615,339603,336710,337655,338317,337123,332168,329866,330214,329472,325939,324335,324192,325271,327587,328628,325332,319410,317002,315671,315508,317183,319729,320833,320563,320647,321022,321853,327790,337333,345237,348762,348038,347746,348995,351541,353678,355209,357509,360332,361650,361262,361594,364506,368608,372338,374013,375701,377624,380093,382099,383282,384086,385428,386519,387638,389104,390722,392803,394533,396834,399029,400829,401473,402359,402622,403985,405276,407878,410226,412391,414049,414973,414863,413909,413889,413972,414362,413500,412193,408934,404818,401240,397046,393822,391860,391464,390033,387400,384895,383266,381750,381796,381968,382278,383150,383855,382990,380890,380325,380384,381114,380761,381100,380037,379893,380187,380262,379462,378952,378868,377919,376970,375948,376269,376276,377300,378327,378798,379945,381280,383671,386603,390333,394469,398386,401900,404915,407995,410058,412343,413608,417497,422383,428574,434562,440766,446696,451485,457437,462573,469269,475819,485125,492319,498750,502312,506989,512142,518169,525334,530353,537361,543482,550029,553469,556441,558118,561156,562707,564455,566451,568917,574167,578188,582058,584324,586676,590068,594716,599338,603473,605990,607713,609072,610139,608822,607665,607971,611738,614591,615678,616931,619299,622642,624443,625011,623894,624345,626363,629208,631691,634210,636480,636907,636924,636226,637847,640978,644728,649763,651303,653422,652406,654340,658667,665193,668776,672917,676744,682766,687422,690102,693614,695555,698714,700953,704266,708759,715728,722286,729217,734881,742751,752283,763787,777320,792979,809317,825148
Four Bedrooms,30.246309,-97.76087,-10882690.267907413,3535250.022342252,71,78704,TX,Austin,Austin-Round Rock,Travis County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,460011,458044,458689,457623,457724,456797,457559,456512,454976,452055,452414,454233,457330,456958,453910,450371,447680,445013,440894,439851,436448,437317,435506,434021,427829,428160,428983,431185,428873,429151,428785,427406,430643,429432,423658,414654,412110,411542,412873,416683,422831,427983,432187,435824,440169,445750,458383,471493,481754,483737,482688,481223,483730,486818,487239,487907,487242,489439,490095,492406,496475,503841,509819,514198,514010,514228,517356,520530,523980,524811,525059,525877,526068,527408,529796,532106,535048,538002,541199,544901,546812,547555,550100,551021,553169,553702,556967,560754,564587,568244,570588,571421,572280,574350,574539,574334,572390,571042,567611,563298,559259,553022,548766,546273,546267,544901,542495,541670,541005,540670,539962,539327,538242,538860,538993,536998,533222,530836,529850,529012,527412,526101,524568,524749,525434,525149,523555,524230,524941,525171,523752,521674,521136,520690,522450,523458,525086,527478,529365,530794,533102,536877,541753,546820,551788,556226,560209,562260,562956,562187,566296,572027,579590,586550,595365,604690,612787,621912,628135,635898,645046,658876,669820,677607,681218,685921,691886,698590,706883,711389,720032,729980,741014,748218,751993,756267,762155,767760,770979,774270,778427,786486,795179,802139,807379,809288,815731,823219,832766,838878,844366,848216,850349,853899,851417,850654,849623,855196,858896,861912,864378,869927,875151,879261,881795,882458,882095,882642,884789,891690,897635,903767,905845,907283,906500,908301,912643,916159,924830,928168,932698,929144,931901,935053,941524,942448,946922,952198,962461,971798,979113,986401,989912,992863,993661,999261,1006680,1018540,1028340,1037744,1043578,1052430,1061978,1075616,1093031,1115803,1139128,1160205
Five Bedrooms And More,30.246309,-97.76087,-10882690.267907413,3535250.022342252,71,78704,TX,Austin,Austin-Round Rock,Travis County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,573941,569977,563297,552717,542870,540905,541264,540701,535363,534798,540163,548483,550534,552531,557829,565187,570070,565252,560255,558577,564711,563654,558494,551242,554534,555056,555079,552331,554893,558996,560686,560022,559586,560737,556904,551975,547840,544672,544900,547354,549109,547525,545144,544956,544620,545561,547728,549055,544891,544949,543197,542896,545333,552174,553022,549586,544618,544143,546174,548041,550854,551535,554168,558585,563243,566891,576214,586714,598037,603968,609176,615975,628001,636512,638697,636389,632711,633179,635271,640157,647136,655922,660911,663583,662017,665477,673564,680945,687892,690286,691693,692972,691253,689400,688947,691500,691303,689389,684601,683957,683045,681113,680698,678514,679580,679667,682997,687542,694224,701054,705434,705632,706784,709174,709213,706500,703060,702448,700975,693430,686271,675347,672524,671679,672182,670162,667817,668790,669267,667744,663466,661664,659017,660844,658993,657133,652692,651028,648644,646685,643951,639327,635441,633392,635494,636392,637270,639524,641406,641532,640240,639080,639035,642553,646977,651875,653546,655760,653994,649940,648584,652496,660132,666303,670293,672392,673222,671466,669401,666924,671919,681539,692936,702799,711571,721192,730063,741867,754450,767511,780305,794455,807603,816016,819799,820455,826221,833421,844192,849989,859765,872484,887833,902490,912611,925240,939048,955124,963881,971264,980743,991248,1002577,1011646,1021458,1025913,1033159,1039539,1047521,1052829,1060965,1068353,1071247,1077793,1073758,1070552,1065642,1072108,1077773,1082442,1086677,1093021,1096805,1101382,1104840,1107638,1112727,1120107,1132913,1145329,1155141,1161142,1163255,1168012,1169957,1173874,1179669,1184883,1192688,1194721,1189934,1178031,1173533,1176380,1184449,1183834,1189784,1194313,1206856,1215977,1225801,1233893,1240302,1245206,1249316,1256540,1265119,1277071,1286582,1297839,1303965,1315182,1326148,1342892,1365592,1395394,1424913,1451591
Condominium and Co-operative Homes,30.246309,-97.76087,-10882690.267907413,3535250.022342252,71,78704,TX,Austin,Austin-Round Rock,Travis County,0,189886,189035,187249,185685,186363,190299,194939,198477,200260,200245,200503,201618,203331,205896,210828,215990,218894,218529,217428,217007,217364,220625,224129,226703,227415,227705,228096,226693,224225,219195,214823,212513,213801,215496,215100,213480,212605,211964,210571,210739,209840,210078,208872,208161,207130,204902,205855,208286,211564,214457,217637,220289,223660,225661,227896,228461,228711,229294,229196,228641,227388,226934,224952,223071,221209,222052,223392,224077,225288,225957,226179,225456,224665,224362,225331,226080,226408,225551,225079,225915,226146,227208,227971,229079,230661,232069,233765,234535,235224,234852,233437,231565,228167,225682,223440,223805,224070,223949,223936,226014,229466,234203,238868,241967,247111,250129,254431,256024,258561,262707,267760,270493,270141,268368,267386,269733,271076,274329,276019,277748,278197,274399,268660,264115,264197,266307,268130,268855,269281,267928,265914,264895,265636,269241,273890,277968,279906,281111,283227,284828,286693,288908,291364,293224,292779,292372,291515,290658,288866,286636,284791,283165,281461,278289,275696,273640,272903,270976,268708,266585,265662,265021,262301,259635,257563,258927,259833,259338,258143,257615,257706,258260,258083,257928,257937,257850,257680,256287,255221,254742,254210,253407,252734,251484,250565,249450,249784,250429,250590,250596,250377,251449,252776,254987,256281,257780,259501,261116,262773,263166,264070,264284,266484,268242,271031,273054,276424,279697,282683,285759,287509,290272,293020,297232,299762,301907,303268,305325,307615,310510,313407,315210,316827,318891,321273,323622,325623,327913,329999,331760,332730,333813,335377,338983,344746,349443,352868,354237,356605,358813,360649,362243,363629,364916,365779,366656,365991,366013,366581,368718,370027,370672,371725,373284,375439,376591,376825,376130,375513,376205,377030,378475,379370,380584,381488,382316,382296,383064,385413,388039,390927,391014,392507,392116,393699,395034,397766,398288,398562,398456,399454,400481,401279,402650,402769,403647,404355,406072,407330,409984,413017,416384,418534,420920,423607,427200,431322,435926,440129,443919
Single-family Residences,30.246309,-97.76087,-10882690.267907413,3535250.022342252,71,78704,TX,Austin,Austin-Round Rock,Travis County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,284184,286369,287578,291881,296670,302420,306932,310100,314631,320417,326830,331408,335335,338490,342368,345280,346776,346881,346074,347860,348996,349455,347252,345738,345224,346601,348218,347537,346430,343568,344422,345242,343682,338850,336288,336313,335081,331469,330074,330165,331268,333778,336281,334097,329867,327810,326023,325073,325488,327291,327139,325809,325936,325749,325567,329865,338011,345252,349301,349548,350549,352502,355602,358253,359518,361735,364278,365836,365409,365859,368662,372568,376044,377586,379782,382319,385309,387888,389668,391363,393401,394750,395814,397536,399642,402101,403085,404275,405691,407185,407682,407957,407521,408634,409826,411835,413026,414440,416365,418057,418781,418274,418663,418798,419538,418502,417314,414194,410917,407624,403611,400104,397795,396929,395269,393043,390633,388909,386966,387091,387303,387805,388465,389288,388237,386182,385202,384962,385466,385505,386453,385740,385415,385421,385589,384880,384786,384726,384115,383001,381994,381868,381496,382121,383192,383821,384909,385946,387793,390815,394618,399468,403870,408424,411857,414907,416761,419159,420962,425355,430503,436859,442398,448140,453788,458513,464507,470801,478660,486186,495518,503232,512087,517408,524181,529743,536283,543609,549658,557016,563575,570287,574281,577190,575741,576528,576388,579166,581847,584405,589544,593339,597222,599146,601391,604666,610807,616229,620988,622806,624240,625744,626842,626101,624804,625904,630274,634293,635927,638141,641653,646032,648481,649152,648088,647863,650106,653416,656714,660109,662653,662869,661845,661132,663218,667771,672470,678637,680717,682035,680242,682338,688537,697861,703029,707533,711143,717148,721989,724723,728558,731692,736271,738388,741450,745067,753062,761308,770530,778276,788717,801399,816468,834096,854266,876596,898515
One Bedroom,30.207559,-97.79575,-10886573.091746284,3530257.6155367484,93,78745,TX,Austin,Austin-Round Rock,Travis County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127332,127801,127354,126605,126053,125958,126402,126133,126436,126946,128063,128439,128219,127205,127444,128822,129548,129508,129565,130704,131443,131752,132082,133763,135088,136378,136649,136725,137220,137796,136580,135418,133542,131935,129066,125922,125266,125350,125607,124456,123819,123665,124476,125054,126070,127416,128637,129689,129448,129272,129285,130116,130294,131020,131105,131253,130773,130660,131317,131595,131827,131252,130949,131275,130891,129506,128564,128801,129528,129240,128522,128547,129055,130655,132236,132640,133341,134166,135767,136782,137776,138785,139802,140209,139718,138883,138035,138372,138948,139888,139521,137947,135956,133916,133022,132906,133926,134170,134023,133478,133547,133279,133780,135997,138956,142764,144504,145527,145413,146060,146574,146926,146493,146493,146123,144632,142929,140970,140395,139492,139073,138415,137785,136980,136527,136442,136869,137142,136958,136168,135404,135523,135922,136520,137367,138353,139514,140107,141414,142916,144640,146233,147884,149327,150586,152035,154475,157105,159198,160835,160198,159934,160068,162405,164186,165501,166301,167168,167177,167303,167178,167377,168275,169669,170830,170662,170444,172804,175968,179294,180548,182106,184518,187231,190077,192021,193792,195930,198958,199136,198938,197859,199622,200947,202626,205507,208650,211371,213852,215950,217736,218331,218964,219955,221666,223037,223824,222942,222373,222629,223195,224009,224876,227373,228999,230517,230177,230312,230054,230539,231931,233286,235815,237206,238819,239794,242073,243549,245124,245307,246388,246338,244746,242401,239811,238042,236718,237017,237989,239435,240331,242280,243979,246532,249833,253724,257428,261388,265223,268065
Two Bedrooms,30.207559,-97.79575,-10886573.091746284,3530257.6155367484,93,78745,TX,Austin,Austin-Round Rock,Travis County,0,124861,124826,123549,121638,119565,119237,119893,120176,119955,119685,119824,120898,122051,122459,122931,123184,125024,124612,123084,121677,121479,121245,121593,121789,122935,124174,126663,130320,131602,132759,133743,135732,137698,140365,141005,139357,136193,133700,132198,130339,130093,130944,132077,133064,132931,132809,133462,135706,137593,139287,140128,141061,141483,141002,141224,141233,142049,142129,142215,142122,142408,143001,143122,143326,143582,144730,145604,145808,146136,146665,147367,147432,147298,146849,147059,147304,147550,147049,146411,146339,146090,145989,145993,146545,147053,147754,148099,148553,148432,148447,148551,148693,148732,148484,147803,147560,147832,148469,149278,149651,150600,151382,152216,152714,153367,154207,155356,155720,155791,155185,154488,154003,153299,153030,152526,152512,152595,153052,153597,154129,154384,154694,154943,155563,156784,158200,159751,160907,161732,162158,162544,163247,164536,166038,167882,168921,169425,169342,169791,170818,172048,173455,174222,174485,173677,172758,171942,171720,171662,171968,171632,170382,168736,166584,165356,164833,165269,165395,165125,164883,164780,164847,165137,166093,167119,168372,168952,169477,169873,170839,171441,171941,171907,171434,170580,169437,168949,168550,168529,167622,166634,165369,164488,163475,162409,161762,161705,161933,161745,161378,161011,161687,162387,163318,164131,165160,167096,168814,171302,172843,174258,175060,176582,177969,179563,181150,183663,186224,187973,189420,188883,189645,190658,193872,195825,197302,198296,199529,200866,202229,203616,204783,207684,210873,214139,215171,216355,218638,221672,224534,225923,227233,229247,232196,234786,235845,236729,238353,241233,243911,245971,247860,249913,252407,254127,256049,255923,256774,257793,260690,262708,263033,263127,263664,265278,266180,266700,266469,267477,269119,271005,271953,272610,273624,275302,276743,277743,278886,281591,284857,288692,290662,292706,293832,295997,298863,301962,303916,304987,305562,306303,307079,307125,307892,308017,308953,309600,311363,313280,316040,319234,323165,326516,329966,333751,338089,343237,348832,354654,359579
Three Bedrooms,30.207559,-97.79575,-10886573.091746284,3530257.6155367484,93,78745,TX,Austin,Austin-Round Rock,Travis County,0,151451,150943,150240,149617,149314,150534,151670,153304,154325,155562,157404,159311,160575,160024,158847,157171,155863,153267,150168,146847,143504,140532,137650,135971,135381,136756,139582,142606,144436,144692,146089,146378,148724,150107,150596,149004,147212,147568,148806,149973,151077,152724,153542,155428,156205,158093,159921,162608,164495,165338,165078,164973,164814,164557,165113,165657,166630,167073,167428,167964,168409,168699,168927,169228,169559,170032,170526,170621,170823,170628,170804,170724,170580,169968,169410,169087,169060,169014,168671,168835,168676,168867,168836,169054,169238,169571,169750,169982,169990,170021,170014,169772,169588,169282,168972,169002,169656,170651,171646,172153,172644,173216,173912,174572,175095,175667,176084,176187,175830,175521,175218,175297,175535,175781,176077,176486,177012,177431,178106,178664,179323,179651,180006,180227,180524,181067,181522,181730,181762,182060,182431,183185,183890,184370,184853,185357,186043,186523,187339,188473,189900,191484,192733,193438,193532,193892,194281,194593,194448,194329,193823,193195,192127,190148,188558,187533,187373,186983,186496,186335,186542,186744,187096,187514,188251,189706,190682,190873,190829,191062,191541,191675,191283,190730,189643,188702,188103,187397,186878,186425,186025,185457,184641,183790,183209,182794,183389,183899,184190,184339,184434,184995,185331,186062,186974,188230,189819,191286,192631,193487,194228,194519,195821,197519,200143,202565,205354,208024,210381,212880,214744,217336,219905,223696,226269,229134,231070,233382,235087,237027,239119,240808,243481,246266,249404,251249,253186,254002,255451,256762,259023,261381,264059,267820,270759,272735,273816,275648,278504,282193,285239,287665,289175,290433,291377,292149,292346,293429,295231,297965,299654,300296,301234,303240,305709,307536,308669,309175,309996,311201,312601,314094,315541,317271,318392,318847,318889,320079,322535,325096,327988,329113,330853,330757,331766,332572,334672,335743,337085,338064,339969,341923,343513,345598,346235,347351,348871,352249,355881,359940,363947,368181,371555,375357,379606,384691,391049,398470,405490,411550
