HomeType,Latitude,Longitude,mercator_x,mercator_y,SizeRank,Zip,State,City,Metro,CountyName,1996-01-31,1996-02-29,1996-03-31,1996-04-30,1996-05-31,1996-06-30,1996-07-31,1996-08-31,1996-09-30,1996-10-31,1996-11-30,1996-12-31,1997-01-31,1997-02-28,1997-03-31,1997-04-30,1997-05-31,1997-06-30,1997-07-31,1997-08-31,1997-09-30,1997-10-31,1997-11-30,1997-12-31,1998-01-31,1998-02-28,1998-03-31,1998-04-30,1998-05-31,1998-06-30,1998-07-31,1998-08-31,1998-09-30,1998-10-31,1998-11-30,1998-12-31,1999-01-31,1999-02-28,1999-03-31,1999-04-30,1999-05-31,1999-06-30,1999-07-31,1999-08-31,1999-09-30,1999-10-31,1999-11-30,1999-12-31,2000-01-31,2000-02-29,2000-03-31,2000-04-30,2000-05-31,2000-06-30,2000-07-31,2000-08-31,2000-09-30,2000-10-31,2000-11-30,2000-12-31,2001-01-31,2001-02-28,2001-03-31,2001-04-30,2001-05-31,2001-06-30,2001-07-31,2001-08-31,2001-09-30,2001-10-31,2001-11-30,2001-12-31,2002-01-31,2002-02-28,2002-03-31,2002-04-30,2002-05-31,2002-06-30,2002-07-31,2002-08-31,2002-09-30,2002-10-31,2002-11-30,2002-12-31,2003-01-31,2003-02-28,2003-03-31,2003-04-30,2003-05-31,2003-06-30,2003-07-31,2003-08-31,2003-09-30,2003-10-31,2003-11-30,2003-12-31,2004-01-31,2004-02-29,2004-03-31,2004-04-30,2004-05-31,2004-06-30,2004-07-31,2004-08-31,2004-09-30,2004-10-31,2004-11-30,2004-12-31,2005-01-31,2005-02-28,2005-03-31,2005-04-30,2005-05-31,2005-06-30,2005-07-31,2005-08-31,2005-09-30,2005-10-31,2005-11-30,2005-12-31,2006-01-31,2006-02-28,2006-03-31,2006-04-30,2006-05-31,2006-06-30,2006-07-31,2006-08-31,2006-09-30,2006-10-31,2006-11-30,2006-12-31,2007-01-31,2007-02-28,2007-03-31,2007-04-30,2007-05-31,2007-06-30,2007-07-31,2007-08-31,2007-09-30,2007-10-31,2007-11-30,2007-12-31,2008-01-31,2008-02-29,2008-03-31,2008-04-30,2008-05-31,2008-06-30,2008-07-31,2008-08-31,2008-09-30,2008-10-31,2008-11-30,2008-12-31,2009-01-31,2009-02-28,2009-03-31,2009-04-30,2009-05-31,2009-06-30,2009-07-31,2009-08-31,2009-09-30,2009-10-31,2009-11-30,2009-12-31,2010-01-31,2010-02-28,2010-03-31,2010-04-30,2010-05-31,2010-06-30,2010-07-31,2010-08-31,2010-09-30,2010-10-31,2010-11-30,2010-12-31,2011-01-31,2011-02-28,2011-03-31,2011-04-30,2011-05-31,2011-06-30,2011-07-31,2011-08-31,2011-09-30,2011-10-31,2011-11-30,2011-12-31,2012-01-31,2012-02-29,2012-03-31,2012-04-30,2012-05-31,2012-06-30,2012-07-31,2012-08-31,2012-09-30,2012-10-31,2012-11-30,2012-12-31,2013-01-31,2013-02-28,2013-03-31,2013-04-30,2013-05-31,2013-06-30,2013-07-31,2013-08-31,2013-09-30,2013-10-31,2013-11-30,2013-12-31,2014-01-31,2014-02-28,2014-03-31,2014-04-30,2014-05-31,2014-06-30,2014-07-31,2014-08-31,2014-09-30,2014-10-31,2014-11-30,2014-12-31,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31
One Bedroom,32.998786,-96.84436,-10780664.84140047,3895142.8263071277,75,75287,TX,Dallas,Dallas-Fort Worth-Arlington,Dallas County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82931,82291,82152,81187,80467,79741,79243,78564,78284,77695,77494,76884,77001,77326,77487,78301,78992,79663,79837,79892,79006,78167,76975,76756,75591,74549,72911,71464,70025,68951,68678,69203,70472,72199,73712,74833,76434,77830,79525,80456,81301,82041,82083,81945,81632,82014,82782,83329,82992,81974,81486,81678,82954,84278,85869,87097,88794,89969,90703,91343,92137,93846,95073,96017,96013,96058,96395,97312,97596,97936,98377,99233,100427,101312,101900,102693,103722,105084,106046,106559,107360,107863,108343,108302,108303,108900,110517,112299,113857,114762,115438,115805,116527,117489,119148,121646,124724,126806,127451,127384,127716,128325,128912,130019,129957,130059,129329,128950,128638,128972,129932,130768,131411,132075,132894,133494,134710,135717,136993,137694,138026
Two Bedrooms,32.998786,-96.84436,-10780664.84140047,3895142.8263071277,75,75287,TX,Dallas,Dallas-Fort Worth-Arlington,Dallas County,0,0,95459,95911,96265,96537,96625,96472,96454,96454,96495,96510,96337,96452,97037,97479,97435,97487,97702,98253,98671,99079,99409,99810,100481,100789,100406,99730,99511,99693,100058,100441,100792,101113,101448,101643,101794,101997,102203,102637,103095,103916,104713,105422,105899,106258,106572,107010,107492,107631,108088,108409,108901,108547,108119,107799,108185,108886,109388,109740,109769,110231,110495,110995,111558,112194,112697,112816,112617,112339,112372,112614,112931,113148,113147,113334,113420,114084,114545,115050,115442,115984,116485,116825,117201,117160,117215,116893,116516,116238,116479,117357,118291,118983,119699,120090,120627,121516,123052,124734,126180,127154,127573,127538,127499,127628,127595,128052,128538,129127,128878,128198,127735,127127,127029,126887,126706,126478,126303,126331,126513,126837,127412,127933,128414,129130,129668,130221,130822,131646,132224,132303,132101,131721,131636,132242,133215,134283,135034,135841,136381,136514,136690,137169,137314,137314,136978,136754,136435,136107,136102,135894,135870,135957,135878,135616,135637,135925,136317,136176,135866,135542,135626,135871,136371,136462,137396,137941,138249,137965,137952,138471,138531,138210,137208,136357,135324,134289,132706,131757,131232,130811,129762,128286,127560,127043,126443,125489,124392,124307,123933,123178,122221,121873,121912,121990,121653,121477,121558,122005,122836,123087,124030,125147,126244,126618,127098,127706,128747,129668,130739,131747,132700,133727,134434,135111,135666,136695,137658,138664,139241,139993,140973,142173,143090,143897,144516,145168,146160,147253,148597,149842,151276,152934,154229,155203,156160,157153,158481,160240,162293,164205,165640,167000,168394,169500,170874,172453,174128,176147,178126,179942,181315,182815,184354,186262,188131,190100,191800,193355,195206,196369,197311,197926,198254,198988,200173,201628,202815,203763,204377,204484,204218,204814,205943,207380,208775,209283,209005,208552,208479,208671,208857,209573,210500,210458,210367,209834,210890,212124,214191,215638,216985,218254,219737,221094,222441,224310,226046,228106,229027
Three Bedrooms,32.998786,-96.84436,-10780664.84140047,3895142.8263071277,75,75287,TX,Dallas,Dallas-Fort Worth-Arlington,Dallas County,136147,134665,133818,132075,131371,130928,131001,131263,131651,132013,132360,132970,133251,134233,135149,136923,137510,137854,137486,137116,136925,137082,137499,137815,138680,139567,140397,139939,139665,139582,140061,140557,140942,141277,141641,141986,142413,142875,143442,144430,145337,146484,147346,148200,148904,149474,149994,150254,150448,150290,150340,150522,150928,150859,150716,150461,150528,150793,151158,151570,151571,151676,151812,151720,151776,151666,151967,152383,152887,153158,153236,153560,154236,154853,155002,155177,155196,155742,156084,156250,156128,156052,156234,156242,156219,156034,155925,155980,156062,156265,156466,157009,157460,157943,158462,158984,159603,160687,162238,163769,164934,165937,166645,167191,167839,168669,169098,169671,170361,171153,171529,171687,172013,172044,172243,172513,173081,173657,174385,174969,175468,175833,176297,176672,177188,178106,179224,180104,180432,180664,180766,180989,180940,180782,180710,180970,181355,181420,181348,181385,181784,182017,182455,182714,182683,182601,182411,182469,182333,182314,182155,182009,181757,181723,181233,180921,181141,181462,181732,181308,181120,180941,181152,181447,181784,181987,183075,183723,183856,183205,183075,183532,183590,183303,182327,181387,180378,179665,178447,177722,177168,177092,176233,175049,174247,173819,174231,174552,175170,175218,175101,174650,174503,174838,175577,176713,177583,178279,178321,178601,179020,179731,180733,182013,183360,184279,185335,186271,187666,189159,191085,192577,193856,195317,197031,198584,199658,200978,202118,203428,204267,205495,206793,208865,210724,212334,213441,214613,216631,218650,221105,223102,225315,227350,229203,230494,231731,233116,234962,237506,239771,242011,243759,245737,247851,249801,252092,254031,256057,258261,260780,262849,264590,266212,267975,269922,271701,273617,275175,277229,279551,281703,283266,284410,284855,285776,287109,288612,289664,290451,290605,290699,290467,290861,291050,291633,292795,293634,293419,293063,293203,293614,293956,293712,293414,292278,292004,291499,292512,293331,295167,296356,297519,298647,300235,302264,304527,307296,309738,312421,313918
Four Bedrooms,32.998786,-96.84436,-10780664.84140047,3895142.8263071277,75,75287,TX,Dallas,Dallas-Fort Worth-Arlington,Dallas County,267260,266597,266317,265482,264898,264447,264373,264483,264372,264378,264266,264400,263620,263351,262651,262620,262363,262166,262182,262191,262781,263110,263573,263872,265750,267386,269322,270513,271652,272956,273363,273854,273996,274983,276246,277286,277706,278500,279982,282103,284329,285497,286464,286692,287383,287132,287188,287927,289287,289665,288954,288056,287838,288575,289535,291392,292882,294397,295131,294843,294249,293591,293692,293371,292997,291720,290661,288443,287106,286101,285893,286003,286236,286741,286643,286428,285629,285676,286165,287985,289050,290233,290903,291662,291889,291631,291118,290999,291597,292869,293430,293197,292932,292566,293189,293722,294759,296921,300526,304868,307632,308914,309770,311487,313677,316080,316991,318452,320304,322416,323083,322418,322518,323310,325078,326428,327085,327344,327934,328638,329390,330120,331957,333845,335536,336957,338636,340378,342427,344375,346505,347796,349059,349084,348546,348423,349603,351489,352216,353202,353920,354772,354766,355131,353394,351868,349598,349250,348825,348066,347277,345174,343381,342089,341474,340506,340414,340504,341665,340827,339745,338238,338131,338531,339334,339074,339870,340346,341120,341178,340972,341386,340938,340312,338237,336705,334805,333618,331534,330607,329991,329622,328351,326339,325175,324707,325555,326235,326612,326838,326620,325793,324840,325345,327002,329766,331349,332422,332185,332646,333906,335410,337369,339440,341770,342985,344256,345000,347062,349250,352302,354967,357167,359448,361643,364046,365918,368128,369797,371902,373416,375622,378100,380601,383241,385433,387890,389727,392734,395546,399464,402346,405581,408163,410399,412049,413510,415126,417367,420617,422992,425742,427310,429302,430972,432523,434769,436696,438556,440649,442458,444134,446267,447455,448554,450051,452407,455353,456665,457789,459281,460757,462198,462976,462303,463075,464394,466029,466166,465609,465521,465572,465085,465003,465208,466092,467742,468920,468692,467816,466876,466942,466684,467199,467999,467998,467112,465495,466165,466987,469274,470906,473318,475351,477865,479920,482143,485036,488770,493188,496003
Five Bedrooms And More,32.998786,-96.84436,-10780664.84140047,3895142.8263071277,75,75287,TX,Dallas,Dallas-Fort Worth-Arlington,Dallas County,461422,459300,457151,453623,451112,450749,450795,452770,453569,454898,453614,453588,451886,452019,452603,455522,457610,456094,454429,451484,451541,450625,453153,454789,459496,462452,466460,466552,466491,468011,470003,470810,469411,469841,471914,474365,475751,478557,480107,483871,488126,493912,498784,503183,510076,515726,519424,520246,521267,521357,522981,520754,517251,510909,507490,506498,503657,500715,498933,498866,499471,499255,499314,501854,504362,507444,509725,509254,510150,509677,509609,510535,510734,509653,505738,501632,499950,499415,498535,499841,500106,501845,502927,503881,504002,503971,503945,503061,502630,501901,501784,500866,501590,501748,502804,503284,505269,510107,517907,529664,536318,541142,542320,546835,552076,559457,563216,567683,571942,576931,581436,580303,582230,585170,592813,597113,597969,597396,598734,600226,602425,603940,603713,605057,607516,610693,612707,614050,616488,618837,621385,623070,622789,620933,620006,621365,622381,623522,622886,624995,627396,628616,627946,627440,625170,623269,620117,618467,615995,614036,612575,607993,603221,598704,595970,592966,591745,590403,589779,585945,582951,579473,577551,575777,574158,573166,574453,574800,575074,574081,574081,574732,574395,572744,568724,567251,565584,564739,560549,559587,559028,558242,554459,549666,546635,545701,547466,547192,547095,545998,546113,542189,538294,537578,541972,548916,553280,554572,554120,555077,557214,558884,560466,564070,567682,570353,570417,568611,568335,569444,572493,575004,577309,579997,583876,588004,591402,593517,594229,597035,599872,604668,608409,612567,616171,620143,622862,625713,630545,636523,645079,651197,657621,663728,668553,673357,676911,681105,684595,688301,690802,694236,697164,699613,701407,700986,703385,702968,703584,704459,708551,713078,719229,722931,722501,722990,723929,729588,732411,738241,743286,747179,749412,750367,747516,745590,748344,753236,758025,757648,756588,751043,746474,743072,741289,739606,739864,741284,741644,740243,738052,736459,736364,738648,741953,741952,741359,740280,742287,743093,743744,744699,746714,750323,754132,758230,761789,768187,775214,783568,790133
Condominium and Co-operative Homes,32.998786,-96.84436,-10780664.84140047,3895142.8263071277,75,75287,TX,Dallas,Dallas-Fort Worth-Arlington,Dallas County,0,0,106296,106622,106786,106506,106426,105685,105122,104442,104361,104596,104130,103672,103831,104189,104133,104129,103867,104252,104263,104323,104030,103553,103738,103912,103099,101614,100831,101092,101459,101914,102753,103766,104081,103735,103869,104199,104840,105331,104997,104204,103232,103211,102936,102554,102072,102260,102435,102224,102151,102442,103379,104445,105471,105383,105333,105780,106978,107838,107990,108183,108143,108024,107642,107424,107336,107770,108437,108693,108465,108054,108035,108093,108261,108544,109327,110384,111383,111888,112084,112209,112596,112944,113448,113317,113183,112786,112818,111845,110800,110235,110065,110658,110887,111768,112065,113201,114270,115376,115165,115405,115771,116416,116856,116741,116283,115456,115213,115421,115576,115522,115684,116560,117673,118171,117880,117297,117330,118110,119198,119869,120323,120588,121370,121329,121391,120874,121753,122987,124811,125172,125018,124470,124904,126259,127884,129609,130566,132840,134415,135808,135499,135216,134246,133571,133030,132782,132589,132870,133479,133210,132541,131945,131918,132511,133628,134902,135285,134759,132937,130629,129059,127943,127598,126794,126917,126401,126221,125890,125995,126000,125970,125523,123968,123185,122354,121620,119721,118983,118435,116765,113959,111464,111018,111083,111495,110608,110108,110118,110454,109900,108687,108753,109560,110635,110080,109646,109503,109853,109114,108312,108371,109026,109849,110231,111156,111848,113020,113839,114463,115423,117144,118620,119337,119693,120021,120598,120688,121285,121795,122628,123465,123846,124282,124896,125816,126989,128755,130278,131751,132540,133686,135147,136638,138351,139762,141331,142724,144096,145092,146542,148431,150359,151949,152716,153606,154426,155126,156031,157154,158621,160432,161908,162799,164019,165659,168086,170339,172686,175450,177073,178367,179142,179218,179998,181331,183411,184511,184999,185454,185438,185065,185764,186847,188384,189834,190814,190964,190228,190016,190076,190060,190054,190273,189653,189326,188191,188670,188813,189954,190634,191300,191856,192445,193170,193761,194667,195187,196175,196055
Single-family Residences,32.998786,-96.84436,-10780664.84140047,3895142.8263071277,75,75287,TX,Dallas,Dallas-Fort Worth-Arlington,Dallas County,186751,185025,184130,182056,181081,180360,180301,180520,180836,181254,181758,182577,182832,183835,184529,186291,186787,187167,186883,186670,186763,186960,187234,187516,188826,190269,191601,191590,191833,192214,192799,193097,193205,193538,194119,194424,194601,194749,195448,196689,197895,199104,200047,201076,202025,202654,203125,203484,203793,203672,203652,203583,203790,203830,203936,204118,204314,204663,205021,205269,205251,205295,205325,205174,205095,204585,204254,203767,203868,203921,203914,204186,204740,205275,205122,204958,204661,205101,205700,206344,206236,206132,206194,206349,206213,205905,205762,205757,205920,206114,206118,206306,206804,207347,208107,208588,209327,210663,212614,214978,216530,217732,218311,219038,219913,221135,221654,222434,223440,224652,225420,225497,225922,226394,227572,228596,229355,229660,230251,230873,231481,231932,232375,232802,233507,234339,235205,235934,236571,237304,237971,238455,238649,238320,238210,238474,239038,239504,239699,239966,240367,240644,240660,240748,240209,239976,239384,239374,239091,238818,238482,238004,237584,237420,237110,236632,236725,236855,237179,236428,235809,235193,235247,235286,235501,235310,236472,237152,237463,236824,236575,237094,237010,236534,234979,233806,232432,231548,229785,228869,228161,227900,226842,225308,224668,224676,225645,226133,226521,226578,226389,225788,225403,225934,227128,228834,229653,229898,229397,229502,230212,231069,232296,233785,235375,236307,237196,237881,239326,240964,243262,245317,247117,248935,250845,252677,254084,255577,256748,258198,259261,260914,262551,264896,267029,269076,270441,271598,273649,275974,279081,281513,284153,286529,288687,289562,290303,291224,293467,296597,299228,301659,303359,305447,307536,309369,311576,313817,316001,318329,320511,322426,324161,325737,327168,328779,330335,332242,333563,335267,337379,339199,340334,340828,340617,341147,342497,344116,345206,345603,345562,345230,344526,344385,344465,345107,346474,347211,346879,346094,345796,345983,346235,346531,346853,346312,346028,345298,346136,347023,348926,350341,351793,353257,355086,357046,359226,362038,364880,368147,370176
One Bedroom,32.912225,-96.73688,-10768700.222530011,3883659.0872609126,84,75243,TX,Dallas,Dallas-Fort Worth-Arlington,Dallas County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63486,62044,61037,58972,57526,56238,55423,54709,53946,53122,52320,52088,51612,51664,51349,51448,51216,50874,50512,49732,49407,48867,48641,48092,48087,48175,48379,48163,47686,47664,47120,47178,46945,47537,48104,48337,48581,48261,48591,48953,49641,49875,50156,50982,51809,52450,52488,52378,51641,50699,49864,49232,49122,49018,49327,48533,47606,46418,46001,46130,46752,47870,48218,48208,47627,47757,48204,48830,49228,49105,48698,47969,47436,47044,46875,46697,46332,45861,44906,44568,44490,45389,45968,46598,46652,46568,46620,46838,47412,47573,48098,48377,48601,48528,48654,49000,49524,50025,50756,51706,52694,53790,54536,54807,55614,56397,57756,58727,59901,61090,61944,62957,64053,65243,66207,67320,68464,69986,71105,72312,73482,75115,77193,78679,79574,80306,81213,82548,82199,81322,80676,81445,82310,82755,82224,81671,80711,80881,82176,83676,85477,86740,88056,88015,87570,86721,86666,87100,88094,88200,87367,86099,85398,85282,85057,85123,85383
Two Bedrooms,32.912225,-96.73688,-10768700.222530011,3883659.0872609126,84,75243,TX,Dallas,Dallas-Fort Worth-Arlington,Dallas County,51281,51433,51698,52211,52951,53580,54043,54319,54428,54651,54508,54234,53786,53570,53351,53094,52457,51901,51439,51178,51095,50957,51214,51856,52387,52821,52966,53201,53414,53586,53890,54201,54578,54634,54725,54336,54510,54717,55348,55797,56203,56648,56996,57318,57444,57802,58161,58530,58693,58868,59047,59080,59119,59360,59624,59857,59779,59750,59612,59857,60014,59769,59519,59505,59824,59565,59351,59027,59132,59123,59220,59251,59030,59115,58860,58899,58874,59249,59925,60675,61394,61647,61699,61703,61624,61511,61433,61343,61058,60880,60157,59565,58896,59362,60031,60612,61326,62388,63673,64459,64779,65034,65540,66209,66671,66507,66300,66064,66325,65948,65813,65614,66234,66798,67206,67248,67202,67021,66929,66976,66992,67246,67053,66898,66461,65994,65529,65196,65266,65701,65649,65493,64787,64325,64075,64320,64629,64975,65215,65363,65389,65388,65862,65952,66334,66091,66086,65576,65098,64405,63948,63766,63400,62565,61542,61261,61247,61674,61727,61889,62098,62029,62029,61522,61495,61410,61480,61076,60278,59511,58836,58464,57788,57522,57096,56915,56443,56164,55685,55307,55098,54776,54396,53971,53528,52986,52325,51925,51731,51664,51584,51349,51275,51292,51495,51009,50827,50865,51545,52281,52662,52882,53208,53772,54100,54282,54467,55613,56825,57787,58294,58112,58212,58299,58534,58721,58838,59309,59568,59190,58436,57999,57612,58091,58396,58905,58917,59106,59838,60557,61265,62269,63367,64235,64658,64885,65222,65841,66853,67677,67894,67704,67939,68416,69246,69970,71168,72205,73427,74303,75153,76031,76374,76980,77553,78866,80013,81643,83445,84317,84941,85884,88041,90407,93110,96174,98926,100355,101558,101671,101630,102280,103514,104284,103990,103365,104287,105424,107056,108259,108842,110444,112869,115910,118093,119307,120516,121624,123082,124073,125359,126727,128866,130625,131688,132017,132795,134579,136661,138978,139967
Three Bedrooms,32.912225,-96.73688,-10768700.222530011,3883659.0872609126,84,75243,TX,Dallas,Dallas-Fort Worth-Arlington,Dallas County,120309,120296,120439,120552,120861,121048,121256,121399,121442,121742,121996,122394,122351,122350,122274,122741,122892,123171,123326,123735,124304,124701,125063,125265,125726,126177,126509,126271,126266,126256,126538,126562,126834,126551,126486,126241,126904,127866,128962,129954,130593,131414,131904,132460,132332,133078,133786,134892,135171,135394,135396,135602,135682,135928,136491,137218,138401,138888,139166,139219,139281,138891,138758,138870,139428,139397,139139,138995,138672,138914,139350,140042,140527,141007,141517,141973,142649,143305,144263,145058,146188,146773,147057,147006,146759,146433,145874,145612,145356,145678,145627,145546,145242,145149,145296,145805,147286,149884,152551,154285,154900,154966,155732,156574,157213,157918,158843,159844,160586,159995,159594,159299,160025,161048,161528,161981,162410,162426,162323,161743,161557,162092,162336,162508,162118,161657,160919,160185,159919,160586,161183,161565,161302,160772,160837,161341,162182,162772,163350,164088,164873,165104,165408,165680,165587,164371,162955,161754,161192,160996,161358,161529,160746,159657,157740,156859,156501,157876,159022,159951,160328,160283,160321,160261,161319,162408,164412,165114,165350,164732,164251,164125,163930,164053,163230,162402,160679,159443,157990,157794,157915,157753,156916,155771,154642,153506,152721,152554,152835,152863,152494,151513,150977,151655,153019,153794,153936,154044,155000,155671,156227,156527,157267,158067,158997,159051,159140,159477,160684,162135,164032,165337,166689,167483,168516,169522,169942,170831,171627,172606,173431,173969,172421,172129,172201,174227,175624,177039,179008,180395,182083,183993,186002,188174,190985,193332,195154,196231,197624,199232,199974,200991,201895,203604,205534,207942,210849,212491,214295,216158,219050,221354,222308,223331,224579,226714,228801,230154,231220,232033,233938,236140,238324,240608,243734,247024,249127,250146,251056,252391,254221,256989,257773,258790,259104,261104,263288,265032,267345,268417,269407,270001,270421,270773,271322,269133,267156,264365,265022,265681,266849,267814,269031,270561,272060,273264,275115,279001,283240,287527,289143
