HomeType,Latitude,Longitude,mercator_x,mercator_y,SizeRank,Zip,State,City,Metro,CountyName,1996-01-31,1996-02-29,1996-03-31,1996-04-30,1996-05-31,1996-06-30,1996-07-31,1996-08-31,1996-09-30,1996-10-31,1996-11-30,1996-12-31,1997-01-31,1997-02-28,1997-03-31,1997-04-30,1997-05-31,1997-06-30,1997-07-31,1997-08-31,1997-09-30,1997-10-31,1997-11-30,1997-12-31,1998-01-31,1998-02-28,1998-03-31,1998-04-30,1998-05-31,1998-06-30,1998-07-31,1998-08-31,1998-09-30,1998-10-31,1998-11-30,1998-12-31,1999-01-31,1999-02-28,1999-03-31,1999-04-30,1999-05-31,1999-06-30,1999-07-31,1999-08-31,1999-09-30,1999-10-31,1999-11-30,1999-12-31,2000-01-31,2000-02-29,2000-03-31,2000-04-30,2000-05-31,2000-06-30,2000-07-31,2000-08-31,2000-09-30,2000-10-31,2000-11-30,2000-12-31,2001-01-31,2001-02-28,2001-03-31,2001-04-30,2001-05-31,2001-06-30,2001-07-31,2001-08-31,2001-09-30,2001-10-31,2001-11-30,2001-12-31,2002-01-31,2002-02-28,2002-03-31,2002-04-30,2002-05-31,2002-06-30,2002-07-31,2002-08-31,2002-09-30,2002-10-31,2002-11-30,2002-12-31,2003-01-31,2003-02-28,2003-03-31,2003-04-30,2003-05-31,2003-06-30,2003-07-31,2003-08-31,2003-09-30,2003-10-31,2003-11-30,2003-12-31,2004-01-31,2004-02-29,2004-03-31,2004-04-30,2004-05-31,2004-06-30,2004-07-31,2004-08-31,2004-09-30,2004-10-31,2004-11-30,2004-12-31,2005-01-31,2005-02-28,2005-03-31,2005-04-30,2005-05-31,2005-06-30,2005-07-31,2005-08-31,2005-09-30,2005-10-31,2005-11-30,2005-12-31,2006-01-31,2006-02-28,2006-03-31,2006-04-30,2006-05-31,2006-06-30,2006-07-31,2006-08-31,2006-09-30,2006-10-31,2006-11-30,2006-12-31,2007-01-31,2007-02-28,2007-03-31,2007-04-30,2007-05-31,2007-06-30,2007-07-31,2007-08-31,2007-09-30,2007-10-31,2007-11-30,2007-12-31,2008-01-31,2008-02-29,2008-03-31,2008-04-30,2008-05-31,2008-06-30,2008-07-31,2008-08-31,2008-09-30,2008-10-31,2008-11-30,2008-12-31,2009-01-31,2009-02-28,2009-03-31,2009-04-30,2009-05-31,2009-06-30,2009-07-31,2009-08-31,2009-09-30,2009-10-31,2009-11-30,2009-12-31,2010-01-31,2010-02-28,2010-03-31,2010-04-30,2010-05-31,2010-06-30,2010-07-31,2010-08-31,2010-09-30,2010-10-31,2010-11-30,2010-12-31,2011-01-31,2011-02-28,2011-03-31,2011-04-30,2011-05-31,2011-06-30,2011-07-31,2011-08-31,2011-09-30,2011-10-31,2011-11-30,2011-12-31,2012-01-31,2012-02-29,2012-03-31,2012-04-30,2012-05-31,2012-06-30,2012-07-31,2012-08-31,2012-09-30,2012-10-31,2012-11-30,2012-12-31,2013-01-31,2013-02-28,2013-03-31,2013-04-30,2013-05-31,2013-06-30,2013-07-31,2013-08-31,2013-09-30,2013-10-31,2013-11-30,2013-12-31,2014-01-31,2014-02-28,2014-03-31,2014-04-30,2014-05-31,2014-06-30,2014-07-31,2014-08-31,2014-09-30,2014-10-31,2014-11-30,2014-12-31,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31
One Bedroom,29.839155,-95.66391,-10649257.748493552,3482891.428221447,7,77084,TX,Houston,Houston-The Woodlands-Sugar Land,Harris County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60017,59845,59142,57853,56446,55399,54581,53910,53509,53318,53383,53676,54067,53816,53573,53667,54075,54118,53858,53759,53763,53296,52258,50827,49567,48911,48803,48776,48682,48556,48679,48399,47800,47595,47990,48623,48977,49141,49100,48724,48448,48473,48429,48465,47993,47612,47141,47053,47107,46988,46751,46397,46304,46533,46563,46713,47043,47262,46949,45904,44776,43873,43440,43936,44311,44030,43528,42893,42495,41861,41608,42138,42926,43309,42868,41801,40378,39211,38447,38182,38302,38447,38364,37652,36786,36188,36132,36142,36828,37331,37451,37044,36326,35968,36061,36527,37148,37677,38256,38889,39517,40521,41832,42924,43661,44584,45260,46204,46779,47597,47841,48106,47920,48166,48362,49154,49915,49879,50122,50171,50900,51549,52610,53568,54001,53504,53229,53438,54649,56263,56973,57410,57230,57521,57730,58087,59065,60695,62907,64325,64832,64932,65576,66475,67822,68465,69189,69590,70199,70667,69907,69209,68957,69481,70717,71199,71501,71735,72484,73546,74223,74156,74184,74782,75164,75227,74306,74526,75056,75611,75222,74605,74955,76104,77298,76971,76840,76414,76845,76571,76444,76272,76577,77027,76919,76625,76537,77399,78207,79330,80200,81305
Two Bedrooms,29.839155,-95.66391,-10649257.748493552,3482891.428221447,7,77084,TX,Houston,Houston-The Woodlands-Sugar Land,Harris County,71241,71211,71372,71744,72113,72255,71961,71610,71269,71171,71188,71139,70923,70653,70094,69326,68598,68227,68309,68424,68666,68734,68670,68705,68730,68875,69103,69408,69565,69493,69585,69722,69666,69377,68973,68488,68376,68607,69127,69535,69957,70486,70826,71009,70956,70828,70835,70933,71080,70981,70776,70606,70425,70244,70082,70114,70464,71024,71666,72353,72602,72714,72475,72491,72733,73088,73322,73284,73224,73182,73129,73016,73152,73353,73859,74282,74480,74503,74680,75143,75804,76364,76912,77356,77712,78056,78051,77955,78058,78632,79276,79841,79942,80000,79894,80034,80211,80603,81694,82840,83862,84049,84259,84360,84711,85138,85549,85715,85874,86102,85920,85543,84873,84673,84341,84091,83794,83457,83418,83669,84207,84582,84851,85040,85527,85916,86384,86786,87221,87752,88340,88938,89412,89575,89611,89836,90077,90426,90598,91282,92083,92715,92677,92344,91660,91028,90808,90706,90632,90192,89895,88810,87493,86146,85278,84293,83376,82800,82018,81182,80131,79807,79661,79856,79828,79688,79597,79920,80494,80763,80889,80836,81020,80888,80037,79042,78266,78386,78247,77875,77039,76481,75787,75217,74429,73590,73122,73039,73212,72334,71588,70981,70989,70622,70427,70485,70822,70964,71458,71322,71129,71268,71772,72153,72182,72808,73767,74742,75586,76794,77797,79348,80743,82079,83023,83720,84529,84860,85340,85606,86114,86336,86666,86608,87149,87965,88998,90159,91493,93142,94413,95352,95978,96572,97215,98075,98488,98817,99082,99529,100085,100444,100915,101674,102817,104107,105159,106559,107580,108540,109017,109943,110335,110886,111236,111755,111778,112016,112406,112396,112453,112677,113574,114339,114996,115829,116765,117973,118998,119717,120341,121324,122684,123675,124510,124732,125852,126495,127298,127669,129008,130604,132065,132595,132763,133120,133485,133961,133922,134130,134496,134878,134722,134510,134473,135090,135807,136553,137263,138248,139252
Three Bedrooms,29.839155,-95.66391,-10649257.748493552,3482891.428221447,7,77084,TX,Houston,Houston-The Woodlands-Sugar Land,Harris County,88394,88434,88381,88385,88318,88222,88036,87960,87980,88009,88011,88015,87712,87307,86951,86894,86955,87057,87219,87235,87191,87246,87489,87722,88292,88756,89173,89086,89014,88963,89034,89102,89191,89193,88939,88693,88634,89070,89780,90481,91033,91521,92024,92604,92971,93193,93515,93934,94320,94393,94248,94263,94285,94429,94449,94636,94928,95266,95718,96208,96432,96461,96131,95944,95940,96032,96275,96211,96383,96569,96843,96944,97096,97366,97933,98562,99160,99794,100169,100606,100834,101138,101341,101596,101900,102005,101959,101972,101988,102186,102204,102578,102803,103248,103426,103695,104018,104939,106348,107295,108235,108356,109358,109905,110888,111196,111768,112347,112958,113286,113127,113198,112838,112945,112509,112241,111687,111498,111494,111347,111317,111226,111487,111509,111950,112293,112766,113242,113894,114613,115143,115730,116244,116586,116713,117023,117421,118031,118387,118842,119067,119267,119356,119436,119146,118623,118033,117649,117114,116460,115893,115350,114866,114537,114000,113397,112878,112968,113059,113011,112958,113111,113565,113889,114102,113867,113992,114171,114287,114156,114247,114425,114426,114009,112987,111781,110699,110050,109605,109072,108494,107676,106443,105364,104548,104103,103777,103577,103507,103401,102749,102285,102129,102310,102633,102584,102507,102409,102735,103156,103422,103587,104219,104958,105711,106503,107772,109394,110987,112146,113227,114338,115635,116954,118211,119314,120348,121353,121969,122589,123219,124553,125891,127438,128808,130046,131149,132340,133464,134566,135943,137322,138615,139439,140029,140533,141232,142261,143032,143674,144755,145706,146315,146320,146715,147311,148223,148717,149098,149251,150044,150943,151237,151612,152017,152893,153369,153894,154183,154558,154975,155462,155855,156143,156718,157321,158098,159189,160405,161412,162220,163275,164262,165162,165685,166342,167347,168075,168346,168120,168232,168886,169633,170391,170613,171150,171657,172296,172402,172721,173648,174785,175784,176582,177590,178606,180229,181808,183781,185794,188211
Four Bedrooms,29.839155,-95.66391,-10649257.748493552,3482891.428221447,7,77084,TX,Houston,Houston-The Woodlands-Sugar Land,Harris County,114178,114287,114322,114525,114673,114855,114950,115138,115314,115405,115593,115794,115592,115131,114742,114752,114851,114879,115005,115078,115147,115251,115327,115434,116063,116846,117527,117525,117479,117455,117452,117309,117352,117626,117772,117788,117903,118511,119468,120384,121242,122046,122849,123684,124199,124547,124858,125357,125725,125767,125597,125704,125785,126015,126145,126654,127201,127672,128148,128630,128855,128923,128422,128088,127904,127970,128088,127678,127517,127357,127612,127680,127833,127955,128495,129114,129657,130081,130382,130987,131481,132074,132333,132586,132886,133081,133252,133381,133489,133712,133908,134370,134738,135112,135332,135624,135972,136911,138221,139241,140359,140728,141568,141939,142614,143118,143729,144466,145240,145722,145793,145890,145631,145784,145645,145552,145238,144865,144802,144516,144349,144344,144703,144930,145313,145562,145919,146229,146680,147394,147971,148657,149288,149419,149238,149159,149462,150045,150312,150959,151424,151961,152160,152562,152292,151860,151121,150689,149963,149212,148656,148126,147567,146993,146237,145048,144326,144221,144468,144562,144707,145050,145599,145850,145947,145536,145755,146175,146511,146636,146897,147252,147334,146972,145900,144488,143459,143029,142929,142664,142092,141208,140046,139161,138610,138393,138383,138762,138992,139203,138456,137979,137978,138581,139043,139000,138907,138867,139368,139885,140437,140749,141583,142555,143572,144480,146187,148147,150124,151474,152852,154214,155650,157056,158572,159899,161126,162302,162915,163696,164486,166057,167480,169176,170808,172437,173869,175368,176741,177936,179398,180843,182122,182990,183445,183861,184232,185019,185450,185848,186753,187760,188331,188269,188641,189254,190222,190513,190744,190578,191345,192239,192503,192706,193082,193662,193791,193745,193794,194120,194669,195371,195643,195658,195836,196131,196476,197509,198496,199518,199998,201004,201840,202470,202753,203283,204462,205269,205480,204981,205340,206446,207787,208670,208778,209489,210285,211180,211278,211658,212979,214566,215752,216553,217617,218948,221149,223188,225643,228202,231319
Five Bedrooms And More,29.839155,-95.66391,-10649257.748493552,3482891.428221447,7,77084,TX,Houston,Houston-The Woodlands-Sugar Land,Harris County,133755,133952,134126,134666,135231,135856,136435,137025,137517,137832,138344,138799,138470,137955,137516,137639,137734,137506,137572,137674,138214,138680,138993,139344,140965,142634,144254,144695,144919,145352,145285,145118,144421,144278,143843,143472,142652,142491,142615,142967,143382,143870,144352,144619,144866,144990,145327,145490,145829,145960,145658,145534,145537,145844,146152,147002,147583,148221,148711,149674,149945,149944,149799,150082,150333,150427,150543,150105,150071,149724,149690,149481,149950,150413,151065,151557,151911,152192,152426,153359,154447,155730,156657,157235,157709,157745,157875,157904,158263,158582,158827,158815,158612,158553,158689,159113,159318,160495,162338,164146,166017,167307,169055,170042,171285,172206,173036,173762,174652,175467,175303,175014,173894,173460,172830,172991,172881,172509,172317,172167,172602,172976,173845,174390,175215,175857,176718,177255,177714,178579,179653,180835,181430,181294,180844,180895,181570,182266,182322,182744,183551,184880,185556,186076,185300,184623,183740,183640,183262,182967,183068,183381,183482,182797,181557,180300,180575,181363,182179,181744,181316,181281,181614,181502,180931,180233,180477,180730,180749,180529,180562,180670,180474,180034,178607,176891,175459,174762,174566,174247,173506,172603,171721,171592,171531,171098,171017,171170,171540,171735,171043,170700,170714,171115,171223,170767,170801,171102,171812,172240,172791,173226,174379,175372,176355,177193,179112,181636,183867,185373,186768,188525,190323,192128,193644,195250,196792,198594,199362,200098,200803,202807,205000,207652,209714,211355,212780,214440,216362,218022,220261,222063,223807,224831,225415,225700,226481,228146,229314,229867,230356,231085,231407,231361,231592,232016,232836,233139,233218,232633,233106,233995,234720,235142,235438,235791,235887,235928,235892,235966,236276,236703,236761,236764,236929,237380,237838,239017,239937,240928,241233,242305,243057,243521,243280,243098,243549,243759,243553,242876,243000,243909,245157,245774,245230,245377,246182,247357,247795,248105,249460,250844,251967,252652,253621,254907,257432,259777,262232,264621,267516
Condominium and Co-operative Homes,29.839155,-95.66391,-10649257.748493552,3482891.428221447,7,77084,TX,Houston,Houston-The Woodlands-Sugar Land,Harris County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97296,97756,97439,97152,96721,97043,97294,97101,96122,95289,95423,96040,96428,95697,95417,96057,96898,97313,97702,98268,99823,101111,101749,101833,102094,103169,104393,104316,104322,103198,102396,102452,102737,103696,103005,102411,101515,101140,100429,99806,99040,98700,98254,97468,96563,94351,93147,91338,90816,89843,89798,89910,90136,90398,90187,89875,89499,90047,90486,90668,90035,89368,88702,88378,87974,87218,86485,85905,85611,85294,84638,84608,84643,84493,83961,83251,82673,82287,82103,82057,81812,81088,80891,80582,80522,80817,81089,81389,81480,81751,82008,81910,81966,82269,82811,83297,84058,84983,86322,87819,89054,90206,91039,92296,93411,94935,95959,97300,98269,99056,99329,99248,99545,100216,101477,103087,104708,105986,107115,107703,108297,109056,110181,111204,112152,112551,113021,112818,112944,113036,113364,114335,115335,116041,116229,116997,118109,119471,120510,121329,121821,122217,123107,123668,124448,124925,125692,126121,126634,127266,127523,127923,128460,129437,130268,130751,130903,131720,132988,134365,134955,135094,135943,137211,138580,139478,139900,140831,141663,142087,142023,142051,142926,143989,144623,144336,144343,144381,144815,144644,144856,145412,146077,146748,147238,147883,148702,150115,151353,152860,154477,156573
Single-family Residences,29.839155,-95.66391,-10649257.748493552,3482891.428221447,7,77084,TX,Houston,Houston-The Woodlands-Sugar Land,Harris County,97432,97456,97382,97374,97332,97313,97185,97140,97163,97197,97233,97256,96947,96532,96192,96149,96163,96152,96248,96260,96258,96316,96520,96728,97326,97843,98334,98322,98334,98345,98444,98511,98600,98677,98521,98380,98399,98910,99665,100382,100978,101558,102139,102763,103133,103344,103626,104021,104370,104423,104255,104295,104334,104463,104465,104689,105045,105414,105881,106374,106590,106601,106235,106006,105957,106055,106312,106199,106333,106493,106819,106927,107101,107383,107975,108634,109230,109810,110160,110625,110901,111240,111439,111748,112108,112262,112278,112333,112439,112743,112896,113401,113708,114205,114424,114732,115088,116057,117493,118487,119418,119534,120424,120879,121767,122106,122680,123227,123806,124158,124061,124152,123867,124052,123760,123572,123103,122880,122866,122773,122829,122805,123095,123177,123630,123939,124357,124722,125256,125903,126375,126849,127270,127478,127495,127626,127909,128397,128659,129136,129493,129815,129980,130145,129840,129312,128643,128272,127700,127088,126534,125988,125389,124948,124369,123687,123116,123126,123222,123207,123183,123360,123867,124288,124556,124362,124469,124680,124908,124902,125132,125327,125368,124948,123897,122525,121425,120822,120593,120261,119758,118978,117775,116842,116149,115791,115582,115633,115745,115763,115043,114480,114246,114455,114749,114700,114627,114592,114966,115426,115737,115891,116484,117277,118219,119200,120694,122455,124199,125533,126785,127991,129319,130769,132293,133575,134694,135700,136331,136979,137696,139041,140383,141910,143330,144622,145751,147039,148251,149440,150862,152305,153584,154481,155122,155751,156497,157545,158237,158734,159682,160585,161160,161107,161489,162005,162886,163268,163572,163629,164456,165442,165854,166235,166675,167438,167765,168108,168230,168555,168931,169438,169711,169851,170186,170647,171226,172357,173566,174644,175446,176470,177454,178279,178783,179419,180508,181352,181701,181427,181604,182420,183422,184264,184379,184875,185462,186290,186543,186921,187993,189302,190434,191276,192311,193497,195444,197339,199551,201743,204361
One Bedroom,29.70053,-95.53514,-10634923.137664102,3465113.5570690297,61,77036,TX,Houston,Houston-The Woodlands-Sugar Land,Harris County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42892,42660,42536,42282,42398,42497,42437,42155,41765,41704,41578,41400,41219,41305,41907,42502,42590,42360,42271,42444,43095,43359,43816,44166,44885,45446,45393,45303,45376,46009,46661,47451,47756,48009,48156,48568,48318,47954,47257,46579,45779,45429,45655,45966,46125,46174,46059,46150,46311,46545,46621,46721,47230,47250,47012,46616,46653,47025,47490,47912,48528,49491,50998,52942,53842,54401,54508,54492,54382,53810,53653,53275,53339,53568,53677,52975,52186,52025,52296,52752,53178,53834,54468,54968,55030,54767,54338,54309,54738,54895,54918,54805,54593
Two Bedrooms,29.70053,-95.53514,-10634923.137664102,3465113.5570690297,61,77036,TX,Houston,Houston-The Woodlands-Sugar Land,Harris County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44130,43995,44061,44057,44210,44130,44151,43956,43829,43688,43660,43659,43605,43620,43447,43279,42993,43187,43172,43365,43113,43000,42749,42552,42321,42122,41977,41797,41430,40845,40332,39944,39883,39569,39207,38729,38434,38151,37930,37822,37794,37629,37538,37416,37876,38509,39202,39828,40422,41002,41605,42091,42616,43129,43751,44204,43833,43401,43013,42790,42331,42129,42039,42022,41924,42088,42445,42944,43598,44091,44545,44922,45590,46143,46479,46819,47106,47440,47329,47386,47475,47721,48026,48608,49317,49710,50272,50718,51419,51812,52519,52985,53678,54288,54802,55141,55252,55745,55815,55977,56144,56596,57048,57321,57544,57700,58146,58337,58422,58223,58668,59316,59879,60156,60323,60587,60736,61142,61437,61862,62312,62842,63095,63248,63446,63851,64186,64677,65235,65670,65863,65887,66165,66620,67251,67717,67918,68220,68298,68655,68949,69659,70519,71500,72108,72564,72724,73069,73518,73990,74696,75058,75468,75553,75673,75768,76024,76299,76742,77126,77538
Three Bedrooms,29.70053,-95.53514,-10634923.137664102,3465113.5570690297,61,77036,TX,Houston,Houston-The Woodlands-Sugar Land,Harris County,106648,106785,106695,106360,106458,106519,106964,107462,107907,108194,107823,108166,108395,108813,108936,109555,109188,108615,107361,105891,105568,105653,106797,106529,106297,105658,105131,104496,104446,104828,105566,106533,105595,104333,102743,102078,101635,101224,101809,102412,103008,103438,103465,103573,103847,104256,104881,105501,106115,106650,106854,107264,107459,108053,109248,110589,111896,112648,113388,114025,114148,114055,113534,113330,113230,113362,112987,112093,111204,110820,110890,110928,111285,111641,112340,112690,113126,113427,114095,114948,115932,116371,116471,116323,116189,116192,115840,115830,115611,115510,115123,114968,114972,115319,115707,116246,117073,117894,119649,120985,122442,122904,123567,124104,124490,125221,125713,126363,126231,126496,126073,125543,124554,124363,124503,124489,124165,123194,122905,122919,123749,124209,124591,125129,126137,126821,126941,127025,127841,128963,129567,129645,129648,129451,129401,129470,129862,130452,130878,131431,131505,131742,132063,132352,131771,130988,130035,129333,128213,127409,127110,127103,126932,126653,125727,124827,124395,124554,124964,125066,125190,125135,125135,124865,124608,124096,124418,124893,125312,125361,125333,125353,125324,124913,124037,122839,121983,121349,121052,120597,119955,119131,118012,117356,116547,116185,115804,116056,116204,116459,115698,115126,114769,114967,115397,115206,115452,115733,116805,117421,117911,118091,118890,119938,121089,122447,124193,126315,128291,129532,130145,130944,132255,134189,136024,137727,139391,140662,141400,142514,143549,145485,147391,149249,150797,151770,152974,153714,154817,156153,158095,159335,160424,161441,162512,163556,163909,164818,165616,167002,168299,168931,169007,168820,169443,169861,170934,172359,174514,176019,177150,178234,178882,179914,180951,182355,183219,183398,183316,182676,182666,183025,183437,183712,183931,184598,186332,188637,190725,192900,194248,195412,195801,196127,197865,199286,201133,201617,200826,199657,198696,199179,200028,201447,201363,201190,200021,199787,199444,199760,200700,201658,202813,203159,203837,204461,206667,209153,211959,214511,217237
