HomeType,Latitude,Longitude,mercator_x,mercator_y,SizeRank,Zip,State,City,Metro,CountyName,1996-01-31,1996-02-29,1996-03-31,1996-04-30,1996-05-31,1996-06-30,1996-07-31,1996-08-31,1996-09-30,1996-10-31,1996-11-30,1996-12-31,1997-01-31,1997-02-28,1997-03-31,1997-04-30,1997-05-31,1997-06-30,1997-07-31,1997-08-31,1997-09-30,1997-10-31,1997-11-30,1997-12-31,1998-01-31,1998-02-28,1998-03-31,1998-04-30,1998-05-31,1998-06-30,1998-07-31,1998-08-31,1998-09-30,1998-10-31,1998-11-30,1998-12-31,1999-01-31,1999-02-28,1999-03-31,1999-04-30,1999-05-31,1999-06-30,1999-07-31,1999-08-31,1999-09-30,1999-10-31,1999-11-30,1999-12-31,2000-01-31,2000-02-29,2000-03-31,2000-04-30,2000-05-31,2000-06-30,2000-07-31,2000-08-31,2000-09-30,2000-10-31,2000-11-30,2000-12-31,2001-01-31,2001-02-28,2001-03-31,2001-04-30,2001-05-31,2001-06-30,2001-07-31,2001-08-31,2001-09-30,2001-10-31,2001-11-30,2001-12-31,2002-01-31,2002-02-28,2002-03-31,2002-04-30,2002-05-31,2002-06-30,2002-07-31,2002-08-31,2002-09-30,2002-10-31,2002-11-30,2002-12-31,2003-01-31,2003-02-28,2003-03-31,2003-04-30,2003-05-31,2003-06-30,2003-07-31,2003-08-31,2003-09-30,2003-10-31,2003-11-30,2003-12-31,2004-01-31,2004-02-29,2004-03-31,2004-04-30,2004-05-31,2004-06-30,2004-07-31,2004-08-31,2004-09-30,2004-10-31,2004-11-30,2004-12-31,2005-01-31,2005-02-28,2005-03-31,2005-04-30,2005-05-31,2005-06-30,2005-07-31,2005-08-31,2005-09-30,2005-10-31,2005-11-30,2005-12-31,2006-01-31,2006-02-28,2006-03-31,2006-04-30,2006-05-31,2006-06-30,2006-07-31,2006-08-31,2006-09-30,2006-10-31,2006-11-30,2006-12-31,2007-01-31,2007-02-28,2007-03-31,2007-04-30,2007-05-31,2007-06-30,2007-07-31,2007-08-31,2007-09-30,2007-10-31,2007-11-30,2007-12-31,2008-01-31,2008-02-29,2008-03-31,2008-04-30,2008-05-31,2008-06-30,2008-07-31,2008-08-31,2008-09-30,2008-10-31,2008-11-30,2008-12-31,2009-01-31,2009-02-28,2009-03-31,2009-04-30,2009-05-31,2009-06-30,2009-07-31,2009-08-31,2009-09-30,2009-10-31,2009-11-30,2009-12-31,2010-01-31,2010-02-28,2010-03-31,2010-04-30,2010-05-31,2010-06-30,2010-07-31,2010-08-31,2010-09-30,2010-10-31,2010-11-30,2010-12-31,2011-01-31,2011-02-28,2011-03-31,2011-04-30,2011-05-31,2011-06-30,2011-07-31,2011-08-31,2011-09-30,2011-10-31,2011-11-30,2011-12-31,2012-01-31,2012-02-29,2012-03-31,2012-04-30,2012-05-31,2012-06-30,2012-07-31,2012-08-31,2012-09-30,2012-10-31,2012-11-30,2012-12-31,2013-01-31,2013-02-28,2013-03-31,2013-04-30,2013-05-31,2013-06-30,2013-07-31,2013-08-31,2013-09-30,2013-10-31,2013-11-30,2013-12-31,2014-01-31,2014-02-28,2014-03-31,2014-04-30,2014-05-31,2014-06-30,2014-07-31,2014-08-31,2014-09-30,2014-10-31,2014-11-30,2014-12-31,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31
One Bedroom,29.412338,-98.70484,-10987772.527631542,3428232.836052308,47,78245,TX,San Antonio,San Antonio-New Braunfels,Bexar County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191280,191082,191996,193206,195376,196991,199125,201325,204901,207263,208580,208244,208181,209920,210255,211416,210477,210740,208913,206042,200384,196213,194146,194073,193343,190171,188311,186357,185000,182868,181250,181727,182608,184462,185140,186547,187375,189874,191277,190212,189445,188521,190924,190581,191946,190320,188263,184576,182959,182945,183628,185725,185619,184076,178694,175265,173268,174043,175643,176475,174990,171378,166172,161602,160160,161539,164951,167317,166516,162756,157747,155917,155730,157663,158467,159351,157224,154932,152692,151151,150696,151239,152383,151812,150622,148392,147524,146203,146023,144997,143557
Two Bedrooms,29.412338,-98.70484,-10987772.527631542,3428232.836052308,47,78245,TX,San Antonio,San Antonio-New Braunfels,Bexar County,57916,57943,57912,57912,57776,57698,57573,57586,57611,57682,57846,57986,58025,57921,57749,57613,57593,57639,57814,57929,58032,58044,57953,57899,58009,58183,58566,58775,59134,59247,59284,59144,59025,59107,59130,59192,59180,59455,59713,60177,60577,61039,61439,61805,62180,62261,62560,62857,63330,63504,63532,63445,63236,63012,62853,62875,62943,63051,62914,62827,62666,62674,62666,62488,62347,62300,62391,62486,62515,62747,63013,63287,63375,63429,63472,63671,63784,63936,64023,64217,64330,64333,64410,64292,64172,63692,63598,63485,63828,64062,64311,64470,64506,64694,64796,65296,66107,67541,68627,69851,70584,71349,72063,72508,73441,73976,74865,75186,75537,75682,76029,76311,76230,75926,75457,75425,75208,75388,75277,75571,75743,76294,76673,76835,77540,78646,79917,80997,82013,82836,83481,84004,84546,84289,84028,84105,84458,84861,85272,85749,86024,86189,86437,86726,86680,86792,86813,86723,86362,85726,85163,84487,83785,83091,82617,82219,81926,81574,81376,81300,81116,80906,80344,79703,79406,79603,79790,79646,79330,79119,78869,78494,78252,78126,78237,78453,78397,77774,76865,75931,75273,74717,74299,73981,73485,72683,71975,71240,70839,70594,70423,70658,70694,70631,70261,69619,69339,69320,69281,69226,68885,68666,68814,68765,69011,69230,69749,70271,70437,70780,71396,72284,73253,73737,73659,73580,73843,74497,75219,76215,77474,78420,78867,78814,78814,79468,80806,82202,82826,83496,83786,83905,83577,83544,83854,84478,85114,85825,86195,86796,87601,87912,88412,89391,90793,92053,92819,93906,95001,95841,96659,97329,98233,99206,100192,100751,101276,101910,103074,103729,104706,105787,106991,107476,107754,108263,109167,110157,111098,111797,112043,112590,112537,112441,112239,113323,114628,115981,116539,117992,119298,120633,121485,122567,124118,125011,125416,125287,125388,125390,125669,125309,125123,125071,125608,125961,126227,127043,128303,129528,130588
Three Bedrooms,29.412338,-98.70484,-10987772.527631542,3428232.836052308,47,78245,TX,San Antonio,San Antonio-New Braunfels,Bexar County,94493,94365,94206,94039,93846,93757,93635,93594,93664,93732,93891,93992,93876,93777,93806,94084,94336,94467,94623,94860,94978,95115,95124,95224,95805,96378,96847,96658,96642,96708,96829,96783,96767,96886,97051,97266,97233,97333,97603,98128,98732,99254,99916,100337,100741,100930,101203,101441,101652,101757,101684,101677,101013,100339,99578,99517,99517,99550,99479,99408,99244,99081,98821,98637,98755,98991,99046,98802,98453,98270,98161,98105,98138,98176,98441,98660,98902,99057,99433,99979,100610,101222,101879,102410,102619,102504,102416,102391,102728,103077,103549,103904,104068,104144,103973,104193,105068,106570,107952,109392,110326,111274,111928,112418,113307,113954,115085,115755,116267,116559,116809,116848,116829,117021,117123,117474,117616,118195,118178,118260,118353,118776,119184,119560,120209,120714,121591,122231,122884,123474,124622,125810,126754,127045,127617,128322,129191,129923,130557,131395,132235,132882,132922,132980,132695,132622,132079,131834,131490,131351,131016,130362,129495,128544,127950,127365,126935,126488,126173,125643,124943,124122,123328,122616,122287,122330,122629,122795,123092,123339,123411,123612,123857,124264,124267,124186,123683,123065,122044,121310,120574,119712,118956,117764,116755,115426,115040,115013,115332,115241,115086,114717,114312,114274,114723,115577,116270,116760,116670,116295,115732,115603,115923,116440,117156,117663,117927,118052,118219,118936,119834,121000,122226,123262,123932,124339,124843,125433,126078,126682,127521,128123,128698,129003,129519,130175,131129,132070,132669,133552,134259,135039,135371,136071,137046,138164,139014,139867,140365,141090,141691,142021,142525,143455,144803,145755,146147,146549,147132,147586,148362,149398,151282,153023,154207,154681,154961,155526,156326,157269,158243,159311,160362,160760,160615,160516,161362,162475,163749,164729,165860,166741,167190,167768,168270,169637,170606,171860,172202,172949,173604,174586,175418,176139,176892,177240,177699,177635,178050,178058,178666,179037,179495,179892,180396,181182,182251,183659,185126,186824,188587
Four Bedrooms,29.412338,-98.70484,-10987772.527631542,3428232.836052308,47,78245,TX,San Antonio,San Antonio-New Braunfels,Bexar County,126925,126717,126588,126415,126284,126137,125864,125740,125842,126103,126348,126377,126081,125841,125752,125903,125903,126024,126398,126843,126966,126944,126930,127098,127860,128661,129336,129240,129263,129211,129196,128983,128912,128793,128776,128993,129117,129443,129777,130691,131978,133215,134194,134691,135200,135818,136442,137140,137646,137983,138078,138017,136996,135995,135214,135316,135278,135156,135154,135087,134735,134272,133741,133406,133257,133202,133119,132832,132608,132446,132004,131381,131079,131110,131764,132332,133167,133810,134387,134874,135395,135961,137041,138090,138692,138444,137914,137578,137571,137860,138244,138919,139329,139518,139086,139234,140586,143070,145207,146913,148132,149274,150297,150894,152019,153495,155294,156697,157007,156911,157181,157934,158817,159320,159872,160489,160952,161097,161264,161070,161409,161814,162238,162268,161901,161802,161724,161795,162232,162854,163670,164557,165329,165908,166406,166999,168328,170027,171886,173716,174635,175338,175508,176132,176144,175993,175505,175359,174947,174326,173547,172606,171721,170898,170315,169554,168754,167870,167157,166397,165725,165011,164194,163208,162793,162816,163209,163377,163705,164123,164383,164610,164783,164935,164783,164503,163831,162900,161602,160744,160089,159502,158975,158133,157160,155975,155480,155632,156355,156648,156928,156702,156533,156584,157142,157977,158751,159277,159463,159448,158994,159062,159302,159929,160517,160831,161058,161345,161827,163026,164352,165919,167244,168310,168994,169534,170350,171412,172349,173111,174119,174755,175315,175295,175687,176244,177265,178263,178912,179803,180535,181190,181263,181713,182492,183689,184781,185866,186501,187206,187766,187908,188237,189157,190545,191521,191839,192044,192244,192308,192780,193739,195402,197062,197998,198212,198178,198483,199096,199732,200604,201531,202581,202643,202408,202130,203063,204084,205393,206283,207268,208051,208407,209004,209318,210574,211357,212607,212865,213580,214003,214699,215300,215960,217031,217760,218655,218689,219166,219137,219820,220335,221050,221817,222692,223751,224782,226084,227501,229467,231542
Five Bedrooms And More,29.412338,-98.70484,-10987772.527631542,3428232.836052308,47,78245,TX,San Antonio,San Antonio-New Braunfels,Bexar County,149221,148954,148653,148346,147934,147647,147051,146693,146601,146849,147209,147265,146876,146442,146274,146205,146210,146175,146645,147129,147297,147144,146895,146887,147625,148464,149243,149185,149114,148932,148967,148801,148726,148333,147931,147892,147903,148110,148283,149157,150727,152285,153077,153204,153278,154008,154833,155772,156238,156677,156705,156523,154930,153428,152628,152978,153271,153134,153141,152831,152385,151862,151604,151463,151574,151727,151746,151511,151191,151002,150485,149974,149849,149828,150336,150818,152002,152902,153632,154016,154733,155403,156696,157817,158531,158422,157706,157161,156592,156848,157236,158343,158849,159213,158701,159037,160367,163193,165972,168287,169975,170976,172126,172612,173767,175372,177674,179425,180073,179938,180223,181020,182255,183152,183932,184878,185795,186449,186820,186936,187581,188538,189641,190627,191340,192313,193079,193310,194139,195294,196961,198392,199599,200620,201129,201454,202244,203856,205893,207902,208422,208345,208194,208776,209092,209036,208672,208587,208296,207477,206257,205704,205608,205369,204785,203770,202614,201090,200178,199688,199130,198352,197452,196848,196308,196691,196841,197145,197038,197077,196947,196632,196641,196557,196458,195660,195181,194178,192976,191664,191338,191576,191419,190424,188941,187964,187948,188154,188517,188384,188848,189075,189077,188971,189739,191132,192835,193348,193087,192656,192072,192234,192431,193134,193773,194156,194224,194207,194243,195539,197026,199408,201304,202560,203076,203328,204160,205302,206459,207521,208703,209449,210058,209590,209525,209824,211045,212105,212754,213752,214672,215439,215379,215750,216471,217600,218552,219472,219718,220377,220604,220362,220101,220876,222536,223785,224154,224697,225386,226395,227586,228875,231067,233081,234388,234355,234046,234083,234685,234977,235437,235623,236243,236110,235710,235459,236560,237794,239275,240031,240960,241682,242005,242255,242214,243345,244029,245126,245169,246012,246537,247294,247772,248204,248920,249623,250629,250736,251121,250903,251408,251626,252110,252858,253805,255107,256503,258160,259809,261937,264333
Condominium and Co-operative Homes,29.412338,-98.70484,-10987772.527631542,3428232.836052308,47,78245,TX,San Antonio,San Antonio-New Braunfels,Bexar County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84679,84504,84477,84157,83984,83696,84165,84818,85682,85574,85124,84362,83578,82910,82676,83180,83727,83894,82988,81767,80790,81040,82209,83816,85748,87818,89430,90717,91410,92541,93785,94902,95060,95640,95947,96707,96541,95709,93638,91173,89368,89235,89380,90674,92302,93271,92716,90960,90557,91791,94635,97053,98867,98898,99324,98363,97565,96836,97769,99819,100564,100203,98720,97973,97333,97253,96876,96751,96717,96384,95887,95045,94619,94544,94539,94458,94144,93570,92825,92309,91699,91480,91146,90943,90754,90086,89641,88860,88855,89182,89640,89750,89778,89305,88733,87377,86284,85344,84617,84399,83010,81580,79990,79498,79487,80156,80356,80860,81493,82458,83197,83148,83817,84417,85568,86062,86047,85103,84014,83460,82418,81745,81207,81658,82240,82556,82384,81583,81007,80913,82272,83851,85775,86782,87035,86619,85904,85630,85497,86516,86663,87136,86352,85578,84394,83430,83201,83405,84131,85061,85791,85472,85887,86174,86767,87101,87742,88926,89842,90730,90806,90335,89936,90534,91697,92685,93532,93499,93516,93120,93588,93965,94969,95982,96822,97029,96699,96772,97290,98247,99337,100367,100863,100666,100253,100250,100953,101984,102450,102874,102731,103533,103770,104206,104384,105746,107250,108627,109188,110572,112014,113109,113349,113379,113686,113939,113654,113326,113022,113237,113296,112597,112268,112160,112927,113304,113740,114156,115219,115901,116578
Single-family Residences,29.412338,-98.70484,-10987772.527631542,3428232.836052308,47,78245,TX,San Antonio,San Antonio-New Braunfels,Bexar County,104888,104741,104572,104373,104143,104018,103869,103828,103909,103995,104171,104271,104123,103992,104007,104309,104585,104749,104940,105208,105340,105480,105487,105601,106259,106910,107435,107234,107225,107295,107416,107333,107300,107413,107593,107847,107833,107970,108264,108867,109569,110181,110907,111365,111815,112044,112369,112652,112905,113030,112981,112991,112272,111536,110728,110709,110719,110762,110678,110621,110444,110277,109989,109766,109868,110114,110182,109906,109532,109343,109235,109136,109145,109162,109477,109746,110050,110234,110655,111247,111950,112607,113332,113920,114153,114026,113906,113899,114272,114678,115177,115591,115746,115803,115559,115800,116801,118499,120026,121510,122462,123445,124142,124644,125614,126426,127758,128546,129100,129381,129681,129831,129956,130222,130420,130868,131076,131604,131571,131631,131731,132170,132591,132971,133564,134030,134807,135328,135963,136614,137790,138988,139888,140182,140727,141467,142439,143384,144301,145465,146495,147250,147420,147665,147588,147639,147152,146881,146459,146189,145728,144942,143941,142910,142214,141568,141058,140548,140191,139700,139088,138334,137531,136762,136400,136479,136814,136969,137238,137472,137566,137708,137844,138150,138092,138020,137601,136922,135806,134942,134132,133231,132406,131229,130235,128914,128533,128487,128780,128739,128674,128377,128000,127993,128574,129514,130266,130780,130754,130443,129901,129825,130207,130787,131562,132049,132276,132373,132610,133472,134524,135829,137127,138125,138744,139187,139847,140681,141495,142223,143126,143738,144237,144417,144861,145541,146539,147530,148098,148912,149549,150283,150546,151186,152153,153378,154365,155320,155872,156572,157145,157421,157915,158862,160252,161272,161692,162072,162588,163006,163756,164807,166646,168389,169545,169962,170171,170655,171426,172284,173233,174230,175238,175499,175335,175185,176028,177091,178357,179292,180326,181145,181524,182069,182511,183915,184933,186314,186720,187510,188104,189027,189857,190593,191474,191999,192663,192691,193151,193180,193869,194354,194992,195594,196280,197236,198386,199838,201343,203146,205031
One Bedroom,29.518413,-98.60869,-10977069.158591768,3441795.318694165,153,78240,TX,San Antonio,San Antonio-New Braunfels,Bexar County,43894,43687,43279,42684,42182,42066,42191,42318,42529,42671,42963,43309,43822,44291,45018,45723,46362,46515,46310,46062,45926,46003,46317,46388,46311,46008,45828,45601,45584,45646,45985,46494,46696,46731,45972,45764,45490,45878,45989,46385,46498,46636,46472,46355,46361,46667,47465,47842,48200,48009,48152,48059,47774,47517,47368,47396,47417,47319,47168,47024,46885,46870,46506,46155,45999,46024,46186,46091,46018,45718,45376,45197,45203,45375,45514,45662,45815,46040,46189,46468,46764,47342,47913,48298,48469,48330,48636,48967,49571,49796,49901,49970,50019,50133,50318,50696,51207,52137,52792,53438,53450,53711,54253,54737,54944,55022,55360,55718,55861,55665,55586,55628,55812,55742,55459,55350,55642,55910,55766,55645,55666,56055,55992,55969,56108,56842,57402,57864,58212,58588,59151,59549,60195,60268,60648,60799,61568,61927,62415,62567,62773,62899,62975,63034,62793,62816,62772,63128,63354,63646,63633,63312,62807,62548,62633,62775,63164,63431,63931,63893,63227,62544,62709,63845,65184,66247,66848,67099,66859,66618,66483,66553,66770,66956,66735,66569,66305,65914,65212,65098,65090,65342,64940,64906,64822,64966,64753,64166,63449,63102,63293,63083,62762,62475,62748,62979,63292,63042,63158,62758,62600,62447,62695,63464,64566,65469,66074,66191,66325,67083,68123,69928,71578,72848,73534,73870,74491,74903,75767,76849,78214,78698,78666,78373,78064,78014,77980,78184,77894,78071,78203,78696,78674,79184,79648,80247,81149,82341,83378,83978,84789,85503,86008,86047,86194,86590,86982,87662,88474,88905,89351,89815,90851,91731,92073,91793,92149,92412,93189,93200,93631,94306,95556,95970,95487,95026,95885,97972,99577,100555,101240,102006,101388,100909,100208,101644,102810,104459,105146,106099,106963,108100,108331,108604,109548,110178,110351,109555,109684,109498,109411,108529,107862,107349,107576,107882,108259,108728,109518,110155,110468
Two Bedrooms,29.518413,-98.60869,-10977069.158591768,3441795.318694165,153,78240,TX,San Antonio,San Antonio-New Braunfels,Bexar County,82703,82661,82573,82555,82485,82536,82414,82452,82406,82495,82501,82487,82348,82277,82546,82854,83164,83069,83039,82894,82865,82811,82798,82950,83321,83564,83290,82685,82269,82354,82813,83189,83617,83723,83960,83988,84060,84280,84711,85247,85769,86131,86385,86512,86617,86954,87272,87557,87554,87496,87529,87726,87407,87171,86812,86892,86832,86776,86867,87163,87542,87733,87590,87259,87165,86947,87005,86955,87019,87078,86936,86795,86447,86406,86716,87209,87615,87847,87947,88115,88415,88585,88769,88879,89081,88924,88713,88626,88999,89467,89990,90299,90503,90640,90882,91305,92351,93672,94856,95697,96419,97330,98076,98561,99113,99923,100924,101594,101590,101602,101611,102022,101968,102066,102138,102870,103365,103709,103561,103484,103940,104743,105859,106533,107220,107777,108499,108934,109637,110410,111570,112900,113988,114575,114714,114971,115800,116478,117249,117823,118348,118760,118996,119041,118634,118175,117940,118029,117931,117828,117569,117261,116854,116525,116312,116213,116155,116174,115970,115681,115226,115029,114810,114828,114980,115297,115629,115759,115781,115689,115674,115789,115905,115839,115656,115441,115002,114236,113095,112265,111880,111660,111453,110944,110478,109914,109519,109317,109292,109335,109465,109343,109161,109100,109442,109862,110196,110234,110267,110070,109859,109767,110087,110605,111104,111396,111475,111518,111729,112357,113154,113970,114808,115574,116010,116265,116615,117120,117597,117892,118309,118641,118847,119072,119483,120074,120837,121584,122146,122860,123412,124258,124711,125473,126289,127126,127638,128122,128463,128979,129324,129496,130008,130975,132247,133050,133407,133549,133897,134121,134727,135675,137250,138535,139114,138826,138614,138815,139559,140585,141666,142635,143464,143477,143129,142872,143591,144654,145680,146401,146883,147336,147212,147497,147557,148699,149515,150654,150905,151634,152197,153022,153628,153961,154626,154826,155289,155018,155311,155307,155839,155959,156258,156505,157011,157758,158590,159681,160789,162183,163475
Three Bedrooms,29.518413,-98.60869,-10977069.158591768,3441795.318694165,153,78240,TX,San Antonio,San Antonio-New Braunfels,Bexar County,103634,103588,103527,103482,103395,103290,103168,103191,103320,103425,103498,103636,103523,103425,103295,103434,103456,103504,103505,103567,103568,103665,103763,103730,104183,104588,105048,104854,104904,105008,105330,105387,105340,105213,105162,105229,105124,105178,105362,105918,106755,107545,108146,108349,108582,108881,109305,109721,110035,110243,110350,110448,109612,108625,107685,107682,107772,107792,107678,107577,107490,107383,107176,106885,106931,107101,107298,107137,106962,106896,106897,106924,106891,106916,107120,107408,107842,108230,108730,109288,109786,110238,110742,111145,111354,111257,111250,111347,111651,111997,112382,112862,113160,113509,113597,114087,115101,116543,117646,118672,119436,120486,121220,121746,122420,122889,123580,123806,123895,124056,124443,124875,124977,124621,124428,124333,124673,125106,125581,126047,126686,127421,128311,129064,130048,131173,132271,133453,134351,135218,135972,136967,137988,138677,139042,139387,140258,141402,142670,143601,144283,145067,145874,146537,146369,146050,145666,145661,145325,144953,144512,144174,143903,143573,143269,142925,142774,142648,142610,142394,142108,141673,141141,140583,140165,140056,140097,140143,140225,140404,140538,140719,140758,140831,140771,140886,140731,140168,139136,138421,137855,137272,136705,135996,135544,134739,134416,133968,134022,133876,133927,133456,133204,133235,133703,134278,134660,135052,134984,134877,134505,134663,135399,136457,137406,137779,137903,137889,138002,138715,139732,141256,142592,143687,143942,144099,144432,145194,145986,146733,147864,148536,149222,149219,149586,150093,151118,152206,152914,153993,154874,155904,156201,156884,157780,159175,160399,161568,162316,163133,163819,163993,164453,165437,167065,168290,168890,169149,169555,169943,170876,172032,173951,175808,177019,177462,177566,178013,178795,179737,180781,181717,182649,182790,182643,182535,183419,184441,185605,186558,187392,188298,188456,188927,188914,190164,191006,192383,192715,193660,194412,195411,196124,196611,197134,197263,197712,197722,198274,198275,198973,199372,200049,200753,201865,203277,205198,207501,210008,212643,215386
